20 достижений в работе и жизни;;;;;;;;;;;;;;;;;;;;;;;;;
Если уже продавали продукты в блоге: что продавалось лучше всего?;Блог в instagram/tik-tok еще не приносил никаких доходов, предварительно это лишь канал трафика для дальнейших потенциальных клиентов. Единственное, что в сети я успел затестить - Youtube - там была одна продажа. Что было очень неожиданно и приятно  ;Личность в блоге в инстаграм/в тик-токе. Разбавляем экспертный контент человеческой жизнью. Люди смотрят и покупают не у сухого эксперта, а у личности, которая их заинтересовала. Систематическая выкладка просто и историй с рассказами о прошлом и настоящем, трансляция внутренней кухни работы, разбавление всего контента юмором. ;;;;;;;;;;;;;;;;;;;;;;;
Настоящее и будущее;;;;;;;;;;;;;;;;;;;;;;;;;
20 вещей, которые вам нравится делать;;;;;;;;;;;;;;;;;;;;;;;;;
20 навыков и компетенций, которые развиваете и хотите развивать. Что активно изучаете, хотите изучать?;Хочется развиваться в ораторском искусстве и медийных выступлениях. Мне хочется учить и показывать людям то, что ценно для меня, я люблю задумку - быть наставником, советником и помощником. Я уже могу считаться экспертом в сфере продаж и маркетинга, но сейчас больше хочу погрузиться во внутреннюю кухню социальных сетей. Мне нравится доставлять людям эмоции. ;"Для начала это выделение и структурирование тем для публичных выступлений. Чаще выступаем в инстаграм с прямыми эфирами, коллаборациями. Точки соприкосновения с целевой аудиторией найдутся, как только завоевать их доверие, раскручиваем личный бренд, наблюдаем за референтный группой своей ЦА в сети, делаем похожий контент. 
Затем выходим на мероприятия, в которых сначала сможем проявить себя как эксперта в нескольких сферах, а затем и проводим собственные мероприятия: мышление богатого человека, ведение дела в большой компании, выход из-под крыла работодателя, свобода! ";;;;;;;;;;;;;;;;;;;;;;;
О чем читали бы часами?;я очень люблю истории взлётов и падений разных людей. есть человек где начинает снизу всю историю. люблю истории успеха. люблю фильмы, книги;Трансляция своих интересов в блоге - неотъемлемая часть личности. Всегда есть люди, которые также заинтересованы в вещах, которые интересны тебе. Советы в выборе развивающего контента на своём примере. Свои книги в общество, советы, рекомендации  ;;;;;;;;;;;;;;;;;;;;;;;
Какой результат уже приносите клиентам?;;1. Скриншоты отзывов с эмоциональное подписью или подчеркивающей ключевые моменты 2. Сторителлинг о результате клиента 3. Сторителлинг + раскрытие ключевой идеи этого конкретного результата 4. Эмоциональное видео, где автор рассказывает о результате 5. Сторителлинг, подводящий к личному результату или результату продукта;;;;;;;;;;;;;;;;;;;;;;;
За чем к вам обращаются знакомые и друзья? С какими просьбами и за каким советом?;"1) Ощутимая категория людей, которые обращаются - это люди,  которые находятся в трудном положении и обращаются за встряской, за поддержкой,  за подсказкой в том, как преодолеть ментально и материально. занимаюсь благотворительностью. В регионах есть люди, которые я помогаю финансово. 
2) В личных соц.сетях часто задают вопросы по определённым темам,  делюсь техниками, лайфхаками, то что работает практика-визуализация, ритуалы.  ";"Примеры транслирования:
1. Рассказ и истории о людях, в жизни которых ты принял непосредственное участие, как помощник и наставник. 
2. Объяснение - зачем ты это делаешь, кому именно ты помогаешь, как пришёл к тому, что жертвовать людям крупные суммы - это нормально?
3. Переход из детства - точка А: мне было плохо и никто не помогал, только я сам могу помочь себе; точка Б - я помогаю, чтобы людям жилось легче
4. Моральная помощь - советы своим друзьям, подписчики и зрители - друзья. ";;;;;;;;;;;;;;;;;;;;;;;
Качества и навыки;;;;;;;;;;;;;;;;;;;;;;;;;
Качества (5 положительных качеств: какой вы?);"Есть такая штука, как личный контракт.  
- любящий
- ответственный 
- смелый мужчина
- адекватный
- открытый
- чувствительный (чувствующий)
- тактильный
- эмпатичный
- честный (держу слово)
- за взаимную выгоду с партнёрами/клиентами, 
- обязательный
- абциозный ";;;;;;;;;;;;;;;;;;;;;;;;
Что постоянно спрашивают в блоге подписчики? «Как ты это сделал?». «Это» — это что?;"В tik-tok - приятно удивило, что людей много чего интересует. Часто пишут комментарии в аккаунт с часам, но не особо спрашивают про личные истории. Больше людей интересует профессиональная сфера деятельности и технические вопросы: модель, бренд, цены и категории. Еще часто задают вопроса: ""Зачем часы, если телефон?"", ""Все это старьё"", ""За часами нет будущего!"" Ну, и конечно: ""Что у тебя с причёской?""
Помимо этого есть множество запросов на мое отношение к определённым брендам, странам изготовителей, просят рассказать про определённые категории и классы. ";"Примечание: ко всем людям отношусь с любовью и на негатив не отвечаю также. Меня невозможно обидеть, отношусь ко всему негативу и к себе в целом с иронией и юмором. 
 ";;;;;;;;;;;;;;;;;;;;;;;
Как больше нравится работать: массово или индивидуально? Чувствуете себя скорее «Ателье» (один на один) или «Заводом» (один на множество);"Мне нужна команда! Я как раз собираю сейчас вокруг себя таких людей, но мне не нравится, когда надо мной есть начальник. Не люблю, когда система говорит, мне как надо. Регламенты не люблю.
Всегда ищу новые способы, как бы сделать так, чтобы процессы работали эффективнее. Я за команду!
Суть команды - это давнишняя история, и я осознаю всю силу и важность команды на партнёрских условиях. Хочу прикладывать все усилия для строительства команды вин-вин. Команда которая хочет сама быть вместе. ";Постоянное отображение сотрудничества в команде: какие люди есть, внедрение их в блог, кто чем занимается и транслирование полной системы ведение бизнеса в блоге = чистота и честность с клиентами (твоя сильная сторона);;;;;;;;;;;;;;;;;;;;;;;
Раздражает ли личная работа, необходимость индивидуально объяснять что-то людям?;Нет, абсолютно нет. Очень люблю делиться тем, что у меня есть - примеры ошибок рассказываю, лучшими лайфхаками делюсь. Я по сути наставник. ;"Задумка по реализации ораторских выступлений на тему тантра, йоги, ораторского искусства, становления личности и проведения различных духовных практик.
Можно также попробовать реализовать систему наставничествам по ведению бизнеса.  ";;;;;;;;;;;;;;;;;;;;;;;
С кем вы хотите работать? С какими людьми вы с удовольствием работали бы и помогали им? (Например, помогать женщинам раскрываться в отношениях / быть мужским стилистом);;;;;;;;;;;;;;;;;;;;;;;;;
Авторская методика;;;;;;;;;;;;;;;;;;;;;;;;;
Ваша пошаговая методика (3 этапа для достижения результата + 3 шага на каждом этапе);"1) Собрать команду которая эффективно работает недостаток в собственных компетенциях и в специалистах рядом которые могут выстроить стратегию по контенту по комбинации развлекательный/продающий/экспертный контент. 
2) Маркетинговая команда находит специалистов для реализации, для лидогенерации, которая приносит реальные заявки. Также НУЖЕН СТРАТЕГ.
3) Согласовывание плана. Что делаем, куда идём, перспектива! Что еще мы можем делать. как мы можем сделать ЛИДЫ  
4) ПИАР на публичные выступления в клубах на сценах, нетворкингах, где я смогу доносить ценности:   о часах, как категории инвестиции в часы и увеличить оборот. Нужен пиарщик который договориться о медийности и выступлениях на сцене ";Поиск такого человека, который будет непосредственно связан с крупными мероприятиями, который сможет активно продвигать позицию и ценность вашей работы с клиентами. ;;;;;;;;;;;;;;;;;;;;;;;
Ваш уникальный способ решения старой доброй проблемы;;;;;;;;;;;;;;;;;;;;;;;;;
Есть конкуренты;Конкуренты на рынке присутствуют, но они либо мало развиваются в социальных сетях и идут по оффлайн-продвижению, либо же это представители крупных компани, которые работают в большой команде. ;Таблица конкурентов;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
КАСАТЕЛЬНО БИЗНЕСА;;;;;;;;;;;;;;;;;;;;;;;;;
клиенты откуда;1) сарафана 2) база клиентов которые обращаются с новыми запросами либо сервисные запросы 3) рекомендации 4) продавцы годы дружбы и сотрудничества, которые выступают в качестве поставки клиентов мне 5) проф сообщества спекулянтов, в которых часто бывают запросы на поиск для их клиентов 6) авито более широко с большим ассортиментом 7) тик-ток инстаграм 8) усиление окружения и личных контактов через медийные выступления ;;;;;;;;;;;;;;;;;;;;;;;;
виды услуг ;1)  подбор часов 2) сервис для тех, кто уже купил возрождение дарение новой жизни 3) продажа часов и ювелирных изделий, которые уже есть у клиентов (подготовк изделия и продажа) 4) инвестиции в часы, поиск инвестиционных лотов с целью последующей продажи и заработка ;;;;;;;;;;;;;;;;;;;;;;;;
процент какой берет ;примерно 5-7% от стоимости часов, бывает больше, зависит от стоимости часов, чем дешевле часы - тем больше процент ;;;;;;;;;;;;;;;;;;;;;;;;
как проходит работа;;;;;;;;;;;;;;;;;;;;;;;;;
бэкграунд;выше;;;;;;;;;;;;;;;;;;;;;;;;
какой результат хочет ;контент-план и привлечение трафика через сети ;;;;;;;;;;;;;;;;;;;;;;;;
какие каналы трафика есть/какие работают;сарафан и клиенты людей, которым уже предоставляли услуги ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
"Wordstat (https://wordstat.yandex.ru/) и 
Google Trends (https://trends.google.com/trends/)";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
ИТОГ;;;;;;;;;;;;;;;;;;;;;;;;;
"Огромная карьера = огромные возможности для ведения блога. Если ранее личность не рассматривалась в интернете, мы повышаем узнаваемость личного бренда, и параллельно транслируем ёэкспертность, таким образом улучшается лояльность клиента, так как мы доверяем личность. 
Рассматриваем множество вариантов публичных выступлений с тематиками от тантра и йоги, до инвестирования в проекты (часы, инвестирование в целом как процесс) 
Активно развиваем позиционирование, как наставника и учителя, и впоследствие разрабатываем курсы/личное наставничество, т.к. невероятный потенциал, как преподавателя должен иметь выход. 
Ежедневный выход в сторицей с полной трансляцией всех видов деятельности, хобби и интересов. Идём в тик-ток за аудиторией, которая любит развлечение+экспертность и переливаем трафик на инстаграм/ютуб/личный сайт (лэндинг).
Еженедельно публикуем по 1-2 поста, совмещаем информативный/экспертный/развлекательный и личные виды контента. ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
