;Total women (1,000)                 ; Percent childless              ; Women who had a child in the last year ;;;;;;;;;;;
  Asian alone;3 276; 46,1 ; 188 ; 57,4 ; 80 ; 24,5 ;;;;;;;;
  Hispanic \1;10 586; 38,1 ; 819 ; 77,4 ; 277 ; 26,1 ;;;;;;;;
Marital status:;;;;;;;;;;;;;;
  Married, husband present ;26 271; 18,1 ; 2 445 ; 93,1 ; 895 ; 34,1 ;;;;;;;;
  Married, husband absent \2;2 515; 22,7 ; 189 ; 75,0 ; 53 ; 21,1 ;;;;;;;;
  Widowed or divorced ;4 480; 21,0 ; 147 ; 32,9 ; 44 ; 9,9 ;;;;;;;;
  Never married ;28 426; 77,2 ; 1 179 ; 41,5 ; 568 ; 20,0 ;;;;;;;;
Educational attainment:;;;;;;;;;;;;;;
  Not a high school graduate ;12 882; 62,5 ; 703 ; 54,6 ; 248 ; 19,2 ;;;;;;;;
  High school, 4 years ;15 010; 33,5 ; 1 067 ; 71,1 ; 427 ; 28,4 ;;;;;;;;
  Some college, no degree ;12 953; 48,7 ; 789 ; 60,9 ; 309 ; 23,8 ;;;;;;;;
  Associate degree ;5 115; 31,7 ; 306 ; 59,9 ; 89 ; 17,5 ;;;;;;;;
  Bachelors degree ;11 094; 47,8 ; 694 ; 62,6 ; 287 ; 25,9 ;;;;;;;;
  Graduate or professional degree ;4 638; 40,6 ; 400 ; 86,3 ; 200 ; 43,2 ;;;;;;;;
Labor force status:;;;;;;;;;;;;;;
  In labor force ;42 809; 44,6 ; 2 261 ; 52,8 ; 1 015 ; 23,7 ;;;;;;;;
    Employed ;39 641; 44,0 ; 2 051 ; 51,7 ; 910 ; 23,0 ;;;;;;;;
    Unemployed ;3 168; 52,0 ; 210 ; 66,2 ; 104 ; 33,0 ;;;;;;;;
  Not in labor force ;18 883; 48,3 ; 1 699 ; 90,0 ; 545 ; 28,9 ;;;;;;;;
Occupation by employment:;;;;;;;;;;;;;;
  Management, business & financial ;4 999; 39,8 ; 268 ; 53,7 ; 119 ; 23,8 ;;;;;;;;
  Professional & related occupations ;9 538; 44,3 ; 544 ; 57,0 ; 251 ; 26,3 ;;;;;;;;
  Service occupations ;9 526; 47,1 ; 487 ; 51,1 ; 210 ; 22,0 ;;;;;;;;
  Sales & related occupations ;5 018; 52,5 ; 267 ; 53,2 ; 112 ; 22,4 ;;;;;;;;
  Office & admin. support ;8 002; 40,1 ; 373 ; 46,6 ; 177 ; 22,1 ;;;;;;;;
  Farming, fishing and forestry ;141; 62,6 ; - ; - ; - ; - ;;;;;;;;
  Construction and extraction ;157; 39,9 ; 11 ; 67,7 ; - ; - ;;;;;;;;
  Installation, maintenance and repair ;112; 39,9 ; 8 ; 74,3 ; 8 ; 74,3 ;;;;;;;;
  Production occupations ;1 380; 31,0 ; 73 ; 52,8 ; 31 ; 22,2 ;;;;;;;;
  Transportation and material moving ;768; 36,9 ; 20 ; 26,3 ; 2 ; 3,1 ;;;;;;;;
  Unemployed ;3 168; 52,0 ; 210 ; 66,2 ; 104 ; 33,0 ;;;;;;;;
  Not in labor force ;18 883; 48,3 ; 1 699 ; 90,0 ; 545 ; 28,9 ;;;;;;;;
Family income: ;;;;;;;;;;;;;;
  Under $10,000 ;3 422; 41,2 ; 298 ; 87,2 ; 122 ; 35,5 ;;;;;;;;
  $10,000 to $19,999 ;4 500; 39,4 ; 356 ; 79,1 ; 140 ; 31,2 ;;;;;;;;
  $20,000 to $24,999 ;2 586; 44,3 ; 190 ; 73,3 ; 70 ; 27,1 ;;;;;;;;
  $25,000 to $29,999 ;2 927; 43,0 ; 230 ; 78,6 ; 93 ; 31,7 ;;;;;;;;
  $30,000 to $34,999 ;2 966; 42,9 ; 228 ; 76,7 ; 57 ; 19,1 ;;;;;;;;
  $35,000 to $49,999 ;7 473; 46,8 ; 454 ; 60,8 ; 195 ; 26,0 ;;;;;;;;
  $50,000 to $74,999 ;10 134; 47,0 ; 594 ; 58,6 ; 229 ; 22,6 ;;;;;;;;
  $75,000 and over ;17 203; 47,9 ; 1 020 ; 59,3 ; 404 ; 23,5 ;;;;;;;;
  Income not reported ;10 481; 46,3 ; 591 ; 56,4 ; 251 ; 24,0 ;;;;;;;;
REGION OF RESIDENCE;;;;;;;;;;;;;;
  Northeast ;11 032; 49,7 ; 574 ; 52,1 ; 243 ; 22,0 ;;;;;;;;
  Midwest ;13 371; 45,7 ; 919 ; 68,7 ; 366 ; 27,4 ;;;;;;;;
  South ;22 684; 43,6 ; 1 525 ; 67,2 ; 575 ; 25,3 ;;;;;;;;
  West ;14 605; 46,1 ; 941 ; 64,5 ; 376 ; 25,7 ;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
