Characteristics;;;;;;;;;;;;;;;;;;
75 to 84 years;1 499,6;1 491,3;1 254,2;786,9;600,1;498,0;477,1;472,1;456,8;451,9;469,8;461,3;443,9;431,0;410,7;386,2;359,0;335,1
85 years and over;2 990,1;3 680,5;3 014,3;2 283,7;1 858,5;1 628,9;1 607,2;1 592,8;1 564,8;1 502,5;1 614,8;1 589,2;1 500,2;1 445,9;1 370,1;1 245,9;1 141,8;1 039,6
;;;;;;;;;;;;;;;;;;
MALE;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;186,4;186,1;157,4;102,2;79,9;68,5;65,9;65,3;63,9;60,7;63,2;62,4;59,0;56,5;54,1;50,4;46,9;43,9
  All ages, crude \3;102,5;104,5;94,5;63,4;52,4;46,7;47,2;47,3;46,8;45,1;47,1;46,9;45,2;44,2;42,9;40,7;38,8;37,0
Under 1 year;6,4;5,0;5,8;5,0;4,6;4,4;6,4;6,5;7,7;9,0;3,3;3,8;3,1;3,2;2,8;3,4;3,5;3,9
1-4 years;1,1;0,9;1,2;0,4;0,4;0,3;0,4;0,3;0,5;0,3;0,3;(B);0,3;0,4;0,3;0,3;0,5;0,3
5-14 years;0,5;0,7;0,8;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3
15-24 years;1,8;1,9;1,8;1,1;0,7;0,7;0,5;0,5;0,6;0,6;0,5;0,5;0,5;0,5;0,5;0,5;0,4;0,5
25-34 years;4,2;4,5;4,4;2,6;2,2;2,1;1,8;1,7;1,6;1,6;1,5;1,5;1,6;1,4;1,6;1,4;1,5;1,4
35-44 years;17,5;14,6;15,7;8,7;7,4;6,8;7,0;6,7;6,4;6,2;5,8;5,8;5,7;5,3;5,8;5,6;5,2;5,3
45-54 years;67,9;52,2;44,4;27,2;23,1;20,5;19,5;19,7;18,9;18,1;16,7;17,5;16,7;16,7;16,7;16,7;16,5;16,4
55-64 years;205,2;163,8;138,7;74,6;63,4;54,3;52,7;51,7;50,5;48,4;46,5;47,2;43,4;42,7;40,8;39,5;38,5;38,7
65-74 years;589,6;530,7;449,5;258,6;201,0;166,6;154,7;153,2;151,3;143,9;147,3;145,0;140,4;135,0;127,8;121,1;113,6;108,0
75-84 years;1 543,6;1 555,9;1 361,6;866,3;659,4;551,1;517,7;509,9;490,4;478,9;500,4;490,8;467,3;445,9;431,4;402,9;372,9;345,5
85 years and over;3 048,6;3 643,1;2 895,2;2 193,6;1 723,8;1 528,5;1 522,1;1 522,1;1 512,1;1 389,3;1 512,8;1 484,3;1 380,2;1 317,9;1 236,0;1 118,1;1 023,3;932,4
;;;;;;;;;;;;;;;;;;
FEMALE;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;175,8;170,7;140,0;91,7;73,3;62,6;60,5;59,9;58,6;57,6;59,8;59,1;56,4;55,2;52,3;48,9;45,6;42,6
  All ages, crude \3;105,6;111,4;109,0;85,9;75,3;68,4;70,7;70,6;69,7;69,0;72,3;71,8;69,2;68,2;65,1;61,2;57,8;54,4
Under 1 year;3,7;3,2;4,0;3,8;2,7;3,1;5,3;5,9;6,4;6,7;2,1;2,7;2,3;2,5;2,2;2,8;2,6;2,9
1-4 years;0,7;0,7;0,7;0,5;0,3;0,3;0,3;0,3;0,3;0,4;0,3;0,4;0,4;0,3;0,3;*;0,3;0,4
5-14 years;0,4;0,6;0,6;0,3;0,3;0,2;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,2;0,2;0,2
15-24 years;1,5;1,6;1,4;0,8;0,8;0,6;0,4;0,4;0,5;0,4;0,5;0,5;0,5;0,3;0,5;0,5;0,5;0,5
25-34 years;4,3;4,9;4,7;2,6;2,1;2,2;1,6;1,8;1,7;1,7;1,4;1,5;1,5;1,4;1,4;1,4;1,2;1,2
35-44 years;19,9;14,8;15,6;8,4;6,9;6,1;6,0;5,8;6,1;5,6;5,6;5,7;5,4;5,5;5,3;5,1;5,1;4,8
45-54 years;72,9;46,3;39,0;23,3;19,4;17,0;15,3;15,7;14,5;14,4;13,8;14,5;13,6;13,6;13,4;13,1;13,6;13,0
55-64 years;183,1;131,8;95,3;56,8;47,1;42,2;39,1;38,5;37,5;35,9;35,1;35,3;32,9;32,1;30,9;29,5;27,9;28,2
65-74 years;522,1;415,7;333,3;188,7;150,4;126,7;121,4;118,9;118,8;116,0;117,2;115,1;109,3;108,1;100,5;96,6;90,5;86,5
75-84 years;1 462,2;1 441,1;1 183,1;740,1;565,1;466,2;451,8;448,2;435,4;434,5;449,8;442,1;428,6;421,2;396,8;374,9;349,5;328,0
85 years and over;2 949,4;3 704,4;3 081,0;2 323,1;1 912,3;1 667,6;1 640,0;1 620,2;1 585,5;1 547,5;1 656,0;1 632,0;1 550,4;1 501,5;1 429,4;1 303,4;1 196,1;1 089,8
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
White male;;;;;;;;;;;;;;;;;;
All ages, age adjusted;182,1;181,6;153,7;98,7;77,1;65,5;62,9;62,6;61,4;58,1;60,8;59,8;56,5;54,2;51,7;48,1;44,7;41,7
;;;;;;;;;;;;;;;;;;
Black male;;;;;;;;;;;;;;;;;;
All ages, age adjusted;228,8;238,5;206,4;142,0;112,5;102,2;97,0;94,4;89,7;88,0;89,6;89,6;85,4;81,7;79,5;74,9;70,5;67,1
;;;;;;;;;;;;;;;;;;
American Indian or;;;;;;;;;;;;;;;;;;
Alaska Native male \4;;;;;;;;;;;;;;;;;;
All ages, age adjusted ;(NA);(NA);(NA);66,4;48,4;44,3;51,7;47,9;50,8;40,4;50,0;46,1;37,5;37,1;34,9;35,0;31,3; (NA)
;;;;;;;;;;;;;;;;;;
Asian or;;;;;;;;;;;;;;;;;;
Pacific Islander male \4;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);71,4;65,2;59,1;64,0;59,9;61,0;58,1;58,7;58,0;55,3;50,8;48,5;44,2;41,5; (NA)
;;;;;;;;;;;;;;;;;;
Hispanic male \5;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);(NA);57,5;46,5;51,2;51,3;49,4;49,8;52,6;50,5;48,9;44,3;43,0;41,5;38,0;35,9
;;;;;;;;;;;;;;;;;;
White, non-Hispanic male \5;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);(NA);74,8;66,3;62,8;62,5;61,4;58,0;60,8;59,9;56,5;54,4;51,9;48,2;44,8;41,7
;;;;;;;;;;;;;;;;;;
White female;;;;;;;;;;;;;;;;;;
All ages, age adjusted;169,7;165,0;135,5;89,0;70,7;60,3;58,6;58,0;56,8;55,8;58,0;57,3;54,5;53,4;50,5;47,2;44,0;41,1
;;;;;;;;;;;;;;;;;;
Black female;;;;;;;;;;;;;;;;;;
All ages, age adjusted ;238,4;232,5;189,3;119,6;99,2;84,0;79,4;77,3;74,4;73,7;76,2;76,2;73,7;71,8;69,8;65,5;60,7;57,0
;;;;;;;;;;;;;;;;;;
American Indian or;;;;;;;;;;;;;;;;;;
Alaska Native female \4;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);51,2;44,3;38,4;46,3;49,0;44,7;47,1;46,4;43,7;44,0;38,0;34,2;35,1;37,1; (NA)
;;;;;;;;;;;;;;;;;;
Asian or;;;;;;;;;;;;;;;;;;
Pacific Islander female \4;;;;;;;;;;;;;;;;;;
All ages, age adjusted ;(NA);(NA);(NA);60,8;54,8;54,9;48,3;52,1;49,6;46,4;49,0;49,1;48,2;45,4;42,6;38,9;36,3; (NA)
;;;;;;;;;;;;;;;;;;
Hispanic female \5;;;;;;;;;;;;;;;;;;
All ages, age adjusted ;(NA);(NA);(NA);(NA);47,5;43,7;42,7;41,5;41,0;41,2;42,2;43,0;41,6;38,6;38,1;35,4;33,5;32,3
;;;;;;;;;;;;;;;;;;
White, non-Hispanic female \5;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);(NA);69,7;61,0;58,7;58,2;57,2;56,1;58,4;57,6;54,8;53,9;50,8;47,7;44,4;41,5
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
