Characteristic;;;;;;;;;;;;;;;;;;
;1950 \1, \2;1960 \1;1970;1980;1985;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
1 to 4 years;(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(NA);(NA);(B);(B);(B);     (B)
5 to 14 years;0,1;0,1;0,2;0,2;0,4;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,5;0,3;0,3
15 to 19 years;1,8;1,6;2,9;3,0;3,7;3,7;3,1;3,5;3,3;2,8;2,7;2,7;2,7;2,4;2,7;3,5;3,0;2,8
20 to 24 years;3,3;2,9;5,7;5,5;4,9;4,1;4,2;3,6;3,6;3,7;3,4;3,2;3,1;3,5;3,4;3,6;4,0;3,6
25 to 34 years;4,9;5,5;8,6;7,1;5,9;5,6;5,1;4,9;4,8;4,7;4,6;4,3;4,4;4,6;4,6;4,7;4,7;4,7
35 to 44 years;7,5;7,7;11,9;8,5;7,1;6,8;6,4;6,6;6,8;6,8;6,4;6,4;6,4;6,9;6,6;7,1;6,8;7,0
45 to 54 years;9,9;10,2;12,6;9,4;8,3;6,9;6,6;6,9;7,2;6,9;6,6;6,7;7,2;7,4;7,7;8,6;8,0;8,4
55 to 64 years;9,9;10,2;11,4;8,4;7,8;7,3;5,3;5,5;5,3;5,5;5,2;5,4;5,7;5,7;5,9;6,1;6,1;6,8
65 to 74 years;10,1;8,4;9,0;6,5;6,9;6,7;5,4;4,8;4,6;4,3;4,1;4,0;3,9;4,1;3,8;3,8;4,0;4,1
75 to 84 years;8,1;8,9;7,0;5,5;6,7;6,3;5,4;4,9;5,1;4,9;4,7;4,0;4,0;4,2;4,0;3,9;4,0;4,0
85 years and over;8,2;6,0;5,9;5,5;4,7;5,4;5,4;4,3;4,8;5,7;4,1;4,2;3,4;3,8;3,3;3,6;4,0;3,1
;;;;;;;;;;;;;;;;;;
AGE ADJUSTED \2;;;;;;;;;;;;;;;;;;
White male;;;;;;;;;;;;;;;;;;
All ages, age adjusted;22,3;21,1;20,8;20,9;22,4;22,8;21,6;21,1;20,3;20,3;19,0;19,1;19,6;20,0;19,6;19,6;19,6;19,6
;;;;;;;;;;;;;;;;;;
Black male;;;;;;;;;;;;;;;;;;
All ages, age adjusted;7,5;8,4;10,0;11,4;11,8;12,8;12,4;11,8;11,3;10,4;10,3;10,0;9,8;9,8;9,2;9,6;9,2;9,4
;;;;;;;;;;;;;;;;;;
American Indian or;;;;;;;;;;;;;;;;;;
Alaska Native male \4;;;;;;;;;;;;;;;;;;
All ages, age adjusted ;(NA);(NA);(NA);19,3;17,9;20,1;17,4;17,9;18,6;17,8;16,5;16,0;17,4;16,4;16,6;18,7;18,9;18,3
;;;;;;;;;;;;;;;;;;
Asian or;;;;;;;;;;;;;;;;;;
Pacific Islander male \4;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);10,7;9,3;9,6;9,6;8,9;9,9;9,6;9,0;8,6;8,4;8,0;8,5;8,4;7,3;7,9
;;;;;;;;;;;;;;;;;;
Hispanic male \5;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);(NA);11,0;13,7;12,7;12,1;11,1;10,7;10,3;10,3;10,1;9,9;9,7;9,8;9,4;8,8
;;;;;;;;;;;;;;;;;;
White, non-Hispanic male \5;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);(NA);22,9;23,5;22,3;21,9;21,3;21,3;20,2;20,2;21,0;21,4;21,0;21,0;21,2;21,4
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
White female;;;;;;;;;;;;;;;;;;
All ages, age adjusted;6,0;5,9;7,9;6,1;5,7;5,2;4,7;4,6;4,7;4,6;4,4;4,3;4,5;4,7;4,6;5,0;4,9;5,1
;;;;;;;;;;;;;;;;;;
Black female;;;;;;;;;;;;;;;;;;
All ages, age adjusted;1,8;2,0;2,9;2,4;2,3;2,4;2,0;2,0;1,9;1,7;1,6;1,8;1,8;1,6;1,9;1,8;1,9;1,4
;;;;;;;;;;;;;;;;;;
American Indian or;;;;;;;;;;;;;;;;;;
Alaska Native female \4;;;;;;;;;;;;;;;;;;
All ages, age adjusted ;(NA);(NA);(NA);4,7;4,1;3,6;3,9;5,1;4,0;4,7;4,0;3,8;4,0;4,1;3,5;5,9;4,6;5,1
;;;;;;;;;;;;;;;;;;
Asian or;;;;;;;;;;;;;;;;;;
Pacific Islander female \4;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);5,5;5,0;4,1;4,1;3,9;3,8;3,5;3,4;2,8;2,9;3,0;3,1;3,5;3,3;3,4
;;;;;;;;;;;;;;;;;;
Hispanic female \5;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);(NA);1,9;2,3;2,0;2,2;1,7;2,0;1,9;1,7;1,6;1,8;1,7;2,0;1,8;1,8
;;;;;;;;;;;;;;;;;;
White, non-Hispanic female \5;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(NA);(NA);(NA);(NA);6,1;5,4;4,9;4,8;5,1;5,0;4,7;4,7;4,9;5,1;5,0;5,4;5,3;5,6
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
