;;;Age-adjusted rates per 100,000 population  2006;;;;;;;;;;;;;;
Kansas;KS;20;794,7;183,6;180,5;46,5;49,9;41,5;17,4;24,7;24,3;19,4;18,8;10,9;13,8;4,1;1,1
Kentucky;KY;21;915,2;235,5;211,2;50,3;55,0;57,5;22,0;25,9;26,7;21,3;21,0;12,5;14,6;4,6;1,9
Louisiana;LA;22;930,1;232,3;203,5;51,5;39,6;56,6;23,7;35,5;30,5;19,6;25,2;19,3;11,6;12,8;8,1
Maine ;ME;23;775,0;174,0;193,8;41,3;49,3;40,6;14,3;21,4;29,0;16,6;15,7;7,3;11,0;1,5;(S)
Maryland;MD;24;793,0;205,6;186,8;43,6;34,3;26,1;12,9;22,4;17,1;19,9;14,1;12,1;8,6;10,2;8,1
Massachusetts ;MA;25;719,7;169,5;186,7;37,6;34,5;32,0;7,3;15,4;19,4;22,5;18,5;3,2;6,7;2,9;2,7
Michigan;MI;26;813,7;227,0;191,0;44,7;42,9;34,9;11,5;26,8;21,7;15,8;15,8;11,4;11,1;7,2;1,8
Minnesota;MN;27;672,8;133,9;171,2;39,4;33,3;35,2;11,6;21,4;22,2;10,8;12,8;6,3;10,6;2,5;1,0
Mississippi;MS;28;961,2;270,9;209,2;53,4;46,7;63,8;33,3;23,8;25,0;20,8;22,5;16,6;11,4;11,0;6,7
Missouri;MO;29;848,3;224,4;196,2;49,5;47,3;49,7;18,8;23,4;24,1;19,3;17,1;13,0;13,5;7,1;2,1
Montana ;MT;30;781,4;168,4;179,6;41,3;53,6;55,8;27,3;23,0;19,6;15,0;11,9;12,4;19,7;3,8;(S)
Nebraska;NE;31;735,3;165,0;176,9;43,8;44,2;35,9;14,8;22,1;22,6;15,8;12,2;7,7;11,2;3,1;1,4
Nevada;NV;32;843,7;226,7;183,2;39,6;49,0;44,5;17,9;12,8;14,7;19,8;22,0;16,5;19,5;8,9;2,9
New Hampshire;NH;33;724,9;178,3;182,6;35,5;44,4;33,7;9,5;21,2;26,5;15,1;11,6;6,1;11,0;1,6;(S)
New Jersey ;NJ;34;736,6;200,9;182,3;35,8;30,3;28,7;8,8;25,9;16,5;13,5;17,1;5,7;6,5;5,3;5,8
New Mexico ;NM;35;775,5;172,6;158,3;37,6;45,5;67,1;24,1;30,5;17,7;18,0;13,2;14,5;18,0;7,0;2,2
New York ;NY;36;701,2;233,1;169,0;29,8;30,1;25,9;8,1;18,3;9,1;22,5;11,0;5,1;6,6;5,0;7,3
North Carolina;NC;37;843,6;195,3;192,8;52,4;45,9;47,0;19,2;24,9;26,4;19,6;18,9;12,7;12,2;7,0;4,7
North Dakota;ND;38;726,9;181,5;183,2;49,3;34,5;39,5;17,9;26,3;33,6;15,1;6,5;6,7;13,6;(S);(S)
Ohio;OH;39;840,8;216,1;198,0;45,1;47,9;40,2;11,7;29,6;27,0;15,0;13,8;9,6;11,2;5,9;2,0
Oklahoma;OK;40;920,4;251,1;194,8;53,4;57,1;56,3;21,8;30,3;23,5;22,7;15,4;13,4;15,0;6,4;2,6
Oregon;OR;41;770,5;160,0;181,3;47,9;45,7;40,5;13,5;28,2;29,0;12,5;8,7;10,0;15,2;3,1;1,4
Pennsylvania ;PA;42;800,8;207,1;190,8;43,4;35,4;39,4;12,8;22,2;18,9;16,1;19,0;10,9;10,8;6,4;2,9
Rhode Island;RI;44;747,4;200,8;181,7;31,2;38,2;36,4;7,8;16,2;20,3;19,5;12,9;4,2;8,1;3,6;2,4
South Carolina;SC;45;864,6;200,2;193,2;51,6;43,2;53,2;24,1;25,0;31,5;16,4;18,9;14,0;11,9;9,1;5,9
South Dakota;SD;46;740,5;177,0;171,9;42,9;39,7;53,0;24,2;27,1;29,8;16,5;6,2;9,7;16,0;2,9;*
Tennessee;TN;47;908,3;233,3;204,7;54,9;47,8;54,2;22,8;27,1;34,6;24,9;12,4;15,4;14,2;8,0;4,2
Texas;TX;48;783,9;197,4;174,5;48,3;39,9;41,0;16,8;26,1;25,9;17,3;15,3;10,4;10,3;6,1;4,5
Utah ;UT;49;706,3;156,3;136,4;36,4;31,9;30,9;13,9;26,1;21,4;18,2;11,1;9,7;15,8;2,0;1,3
Vermont;VT;50;721,7;175,5;171,8;37,8;46,3;45,2;14,1;24,9;26,2;10,8;7,4;8,0;12,0;(S);(S)
Virginia;VA;51;781,0;190,8;183,9;48,8;37,4;35,7;12,5;21,8;22,3;17,9;19,2;10,5;11,1;5,3;3,1
Washington;WA;53;722,5;165,8;174,2;42,9;43,1;41,1;11,4;24,4;38,3;12,7;6,6;8,4;12,3;3,4;1,4
West Virginia;WV;54;941,3;236,9;205,9;47,6;56,6;62,2;23,1;33,1;21,8;20,6;20,8;13,2;14,1;5,4;1,2
Wisconsin;WI;55;746,6;181,1;181,2;44,6;38,8;42,7;13,5;19,7;24,2;15,7;15,4;7,5;11,9;3,5;0,9
Wyoming;WY;56;822,8;189,4;175,4;45,3;67,0;58,9;29,7;23,7;21,8;22,6;11,2;15,0;21,7;(S);(S)
;;;;;;;;;;;;;;;;;
  Puerto Rico \1;PR;72;724,6;146,7;121,1;40,7;27,2;29,6;12,3;65,3;34,0;24,9;24,2;17,4;6,6;18,1;12,9
  Virgin Islands \1;VI;78;648,7;175,7;108,2;43,0;(S);29,1;(S);42,5;(S);(S);(S);43,2;(S);44,2;(S)
  Guam \1;GU;66;615,5;196,7;110,0;72,1;(S);26,5;(S);27,3;(S);(S);(S);(S);(S);(S);(S)
  American Samoa \1;AS;60;1 312,0;304,9;169,1;(S);(S);(S);(S);162,7;(S);(S);(S);(S);(S);(S);(S)
  Northern Marianas \1;MP;69;997,6;72,2;288,5;(S);(S);(S);(S);(S);(S);(S);(S);(S);(S);(S);(S)
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
