 Characteristics;;;;;;;;;;;;;;;;;;
55 to 64 years;390,7 ;396,8 ;423,0 ;436,1 ;454,6 ;449,6;412,3;402,2;390,6;378,2;374,6;366,7;356,5;351,1;343,0;333,4;326,9;321,1
65 to 74 years;698,8 ;713,9 ;754,2 ;817,9 ;845,5 ;872,3;863,3;854,5;838,9;833,3;827,1;816,3;802,8;792,1;770,3;755,1;742,7;727,2
75 to 84 years;1 153,3 ;1 127,4 ;1 169,2 ;1 232,3 ;1 271,8 ;1 348,5;1 355,4;1 340,5;1 323,1;1 319,2;1 331,5;1 335,6;1 315,8;1 311,9;1 302,5;1 280,4;1 274,8;1 263,8
85 years old and over;1 451,0 ;1 450,0 ;1 320,7 ;1 594,6 ;1 615,4 ;1 752,9;1 797,7;1 782,5;1 789,2;1 758,6;1 805,8;1 819,4;1 765,6;1 723,9;1 698,2;1 653,3;1 637,7;1 606,1
;;;;;;;;;;;;;;;;;;
Male;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;208,1 ;225,1 ;247,6 ;271,2 ;274,4 ;280,4;267,5;262,4;257,0;252,6;251,9;248,9;243,7;238,9;233,3;227,7;225,1;220,1
  All ages, crude \3;142,9 ;162,5 ;182,1 ;205,3 ;213,4 ;221,3;216,3;213,9;210,6;208,7;208,9;207,2;205,3;203,8;201,3;198,4;198,9;196,6
Under 1 year;9,7 ;7,7 ;4,4 ;3,7 ;3,0 ;2,4;1,9;2,2;2,3;2,2;1,9;2,6;1,5;2,0;1,7;1,8;2,1;1,8
1 to 4 years;12,5 ;12,4 ;8,3 ;5,2 ;4,3 ;3,7;3,6;3,1;3,0;2,4;2,9;3,0;2,9;2,7;2,8;2,6;2,6;2,5
5 to 14 years ;7,4 ;7,6 ;6,7 ;4,9 ;3,9 ;3,5;3,0;2,9;2,7;2,8;2,7;2,7;2,5;2,9;2,8;2,7;2,7;2,5
15 to 24 years;9,7 ;10,2 ;10,4 ;7,8 ;6,4 ;5,7;5,4;5,1;5,1;5,3;5,2;5,1;5,0;4,9;4,6;4,8;4,8;4,6
25 to 34 years;17,7 ;18,8 ;16,3 ;13,4 ;13,2 ;12,6;11,3;11,0;11,0;10,2;9,7;9,2;9,3;9,2;8,9;8,6;8,8;8,6
35 to 44 years;45,6 ;48,9 ;53,0 ;44,0 ;42,4 ;38,5;36,3;35,5;34,4;34,1;33,3;32,7;32,6;31,5;30,8;29,1;28,9;27,4
45 to 54 years;156,2 ;170,8 ;183,5 ;188,7 ;175,2 ;162,5;141,5;138,7;135,6;133,6;131,7;130,9;130,3;128,0;127,4;124,3;121,6;119,0
55 to 64 years;413,1 ;459,9 ;511,8 ;520,8 ;536,9 ;532,9;475,1;462,8;445,9;432,5;428,4;415,8;405,2;399,8;386,8;376,7;369,5;363,6
65 to 74 years;791,5 ;890,5 ;1 006,8 ;1 093,2 ;1 105,2 ;1 122,2;1 083,0;1 071,4;1 047,1;1 035,0;1 019,4;1 001,9;984,6;964,8;931,7;907,6;899,1;870,4
75 to 84 years;1 332,6 ;1 389,4 ;1 588,3 ;1 790,5 ;1 839,7 ;1 914,4;1 847,9;1 810,9;1 779,3;1 764,6;1 767,0;1 760,6;1 727,1;1 711,3;1 695,4;1 662,1;1 649,7;1 631,3
85 years and over;1 668,3 ;1 741,2 ;1 720,8 ;2 369,5 ;2 451,8 ;2 739,9;2 818,7;2 758,5;2 741,5;2 653,4;2 722,2;2 710,7;2 613,6;2 491,1;2 413,8;2 349,5;2 319,3;2 248,7
;;;;;;;;;;;;;;;;;;
Female;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;182,3 ;168,7 ;163,2 ;166,7 ;171,2 ;175,7;173,6;171,3;169,3;167,2;167,6;167,6;164,7;163,1;160,9;157,4;155,6;153,6
  All ages, crude \3;136,8 ;136,4 ;144,4 ;163,6 ;175,7 ;186,0;188,8;187,3;185,7;184,4;185,6;186,2;183,9;183,0;182,0;179,1;178,8;177,6
Under 1 year;7,6 ;6,8 ;5,0 ;2,7 ;3,2 ;2,2;1,8;2,4;2,5;1,9;1,7;2,3;1,8;1,6;2,1;1,9;1,5;1,8
1 to 4 years;10,8 ;9,3 ;6,7 ;3,7 ;3,4 ;3,2;2,6;2,3;2,6;2,3;2,5;2,5;2,5;2,4;2,1;2,4;2,0;2,1
5 to 14 years ;6,0 ;6,0 ;5,2 ;3,6 ;3,1 ;2,8;2,3;2,3;2,4;2,2;2,3;2,2;2,4;2,4;2,4;2,2;2,2;2,0
15 to 24 years;7,6 ;6,5 ;6,2 ;4,8 ;4,3 ;4,1;3,5;3,8;3,6;3,6;3,7;3,6;3,5;3,6;3,4;3,4;3,3;3,1
25 to 34 years;22,2 ;20,1 ;16,7 ;14,0 ;13,2 ;12,6;11,9;12,2;11,3;11,3;10,3;10,4;10,9;10,2;9,9;9,6;9,1;9,5
35 to 44 years;79,3 ;70,0 ;65,6 ;53,1 ;49,2 ;48,1;43,8;42,7;42,9;41,9;40,9;40,4;41,0;40,0;39,1;37,7;37,5;36,4
45 to 54 years;194,0 ;183,0 ;181,5 ;171,8 ;165,3 ;155,5;139,3;133,6;130,4;126,3;123,7;124,2;122,7;119,8;117,1;113,8;115,8;113,7
55 to 64 years;368,2 ;337,7 ;343,2 ;361,7 ;381,8 ;375,2;355,1;346,8;339,9;328,3;325,0;321,3;311,5;306,0;302,3;293,2;287,4;281,8
65 to 74 years;612,3 ;560,2 ;557,9 ;607,1 ;645,3 ;677,4;687,1;679,9;670,4;669,2;669,5;663,6;652,2;648,5;635,3;627,1;610,9;605,9
75 to 84 years;1 000,7 ;924,1 ;891,9 ;903,1 ;937,8 ;1 010,3;1 047,5;1 042,9;1 031,7;1 032,0;1 048,5;1 058,5;1 045,4;1 046,7;1 040,1;1 023,5;1 020,3;1 012,5
85 years and over ;1 299,7 ;1 263,9 ;1 096,7 ;1 255,7 ;1 281,4 ;1 372,1;1 404,4;1 404,3;1 415,7;1 403,0;1 436,5;1 456,4;1 410,7;1 391,1;1 381,9;1 340,1;1 324,6;1 305,5
;;;;;;;;;;;;;;;;;;
White male, age adjusted;210,0 ;224,7 ;244,8 ;265,1 ;267,1 ;272,2;260,6;255,7;250,7;246,8;246,5;243,9;239,2;235,2;230,1;224,4;222,3;217,9
Black male, age adjusted;178,9 ;227,6 ;291,9 ;353,4 ;373,9 ;397,9;374,3;368,7;358,5;348,6;346,1;340,3;330,9;319,6;308,8;301,2;293,7;284,9
American Indian, Alaska Native male, age adjusted \4;(NA);(NA);(NA);140,5 ;142,1 ;145,8;169,0;173,5;179,9;173,1;169,0;155,8;155,3;141,9;139,9;147,1;147,6;135,5
Asian, Pacific Islander male, age adjusted \4;(NA);(NA);(NA);165,2 ;173,4 ;172,5;164,3;160,6;154,2;153,6;151,2;150,8;147,0;137,9;137,2;136,3;133,0;126,7
Hispanic male, age adjusted \5;(NA);(NA);(NA);(NA);161,3 ;174,7;180,9;176,2;174,4;176,5;170,6;171,7;168,2;161,4;156,5;151,2;152,7;143,4
Non-Hispanic, White male, age adjusted \5;(NA);(NA);(NA);(NA);259,0 ;276,7;263,5;258,9;254,1;250,2;250,4;247,7;243,1;239,6;234,6;229,2;227,3;223,4
;;;;;;;;;;;;;;;;;;
White female, age adjusted ;182,0 ;167,7 ;162,5 ;165,2 ;169,9 ;174,0;172,1;170,1;167,8;165,8;166,4;166,9;163,9;162,4;160,2;157,0;155,2;153,6
Black female, age adjusted;174,1 ;174,3 ;173,4 ;189,5 ;195,5 ;205,9;203,8;200,0;201,5;197,5;196,9;193,8;191,3;190,3;187,7;182,5;179,6;176,1
American Indian, Alaska Native female, age adjusted \4;(NA);(NA);(NA);94,0 ;93,0 ;106,9;117,7;124,6;112,9;116,4;113,1;108,3;114,1;112,9;105,6;108,6;105,9;108,3
Asian, Pacific Islander female, age adjusted \4;(NA);(NA);(NA);93,0 ;99,6 ;103,0;107,4;103,0;102,4;100,1;102,3;100,7;99,3;95,9;96,7;92,0;94,5;92,2
Hispanic female, age adjusted \5;(NA);(NA);(NA);(NA);101,5 ;111,9;110,8;112,4;110,5;109,2;110,9;110,8;108,6;106,1;105,9;101,4;101,9;100,4
Non-Hispanic, White female, \5 ;(NA);(NA);(NA);(NA);167,1 ;177,5;174,7;172,8;170,5;168,7;169,4;170,0;167,2;165,9;163,8;160,9;159,1;157,6
;;;;;;;;;;;;;;;;;;
DEATH RATES FOR MALIGNANT NEOPLASM OF BREASTS FOR FEMALES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;31,9;31,7;32,1;31,9;33,0;33,3;32,7;31,6;31,4;30,9;30,5;29,4;28,2;27,6;26,6;24,4;24,1;23,5
  All ages, crude \3;24,7;26,1;28,4;30,6;32,8;34,0;33,6;32,8;32,8;32,4;32,2;31,3;30,1;29,7;28,9;27,5;27,3;26,9
Under 25 years ;*;*;*;*;0,0;(B);*;*;*;*;*;(B);(B);(B);(B);(B);(B);          (B)
25 to 34 years;3,8;3,8;3,9;3,3;3,0;2,9;3,0;2,8;2,6;2,6;2,6;2,6;2,5;2,5;2,2;2,0;1,8;1,8
35 to 44 years ;20,8;20,2;20,4;17,9;17,5;17,8;16,9;16,1;15,1;15,2;14,9;14,1;13,9;13,4;12,0;11,3;11,3;10,8
45 to 54 years;46,9;51,4;52,6;48,1;47,1;45,4;44,2;42,6;41,7;41,3;41,0;38,3;37,3;35,3;32,9;29,3;28,7;27,6
55 to 64 years;69,9;70,8;77,6;80,5;84,2;78,6;79,0;73,4;71,9;69,5;69,4;66,8;63,8;61,6;59,2;55,8;54,5;53,7
65 to 74 years;95,0;90,0;93,8;101,1;107,8;111,7;108,7;109,2;105,4;105,2;102,8;98,3;93,3;92,4;88,9;81,6;79,2;76,9
75 to 84 years;139,8;129,9;127,4;126,4;136,2;146,3;144,7;140,5;145,3;144,5;140,1;137,6;129,8;129,3;128,9;119,5;119,2;119,2
85 years old and over;195,5;191,9;157,1;169,3;178,5;196,8;195,6;191,2;203,8;195,0;200,2;201,7;195,3;193,4;200,8;178,6;177,9;169,9
;;;;;;;;;;;;;;;;;;
DEATH RATES FOR MALIGNANT NEOPLASM OF TRACHEA, BRONCHUS, AND LUNG;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;5,8;7,5;13,1;24,4;30,6;37,1;40,4;40,4;40,9;41,0;40,2;41,3;41,0;41,6;41,3;40,9;40,5;40,0
  All ages, crude \3;4,5;6,4;11,9;24,3;31,7;39,4;43,6;43,9;44,5;44,8;44,1;45,4;45,3;46,0;46,1;45,9;45,9;45,7
Under 25 years ;(B);(B);(B);(B);(B);(Z);(B);(B);(B);(B);(B);(Z);(Z);(Z);(Z);(Z);(Z);        (Z)
25 to 34 years;0,5;0,5;0,5;0,5;0,6;0,5;0,6;0,6;0,5;0,5;0,4;0,5;0,4;0,4;0,4;0,3;0,3;0,4
35 to 44 years ;1,9;3,2;6,1;6,5;5,6;5,2;5,0;5,1;5,4;5,3;5,5;5,3;5,7;5,8;5,1;5,2;5,1;4,5
45 to 54 years ;5,8;9,2;21,0;33,7;35,2;34,5;29,1;27,9;26,5;25,6;24,6;25,0;24,3;24,3;24,4;24,2;24,5;24,6
55 to 64 years;13,6;15,4;36,8;72,0;92,1;105,0;101,9;99,1;97,6;96,7;91,5;93,3;90,5;88,8;87,1;83,9;80,7;78,2
65 to 74 years;23,3;24,4;43,1;102,7;141,8;177,6;200,0;203,3;206,3;209,4;203,1;206,9;204,9;207,7;204,8;205,0;199,6;197,0
75 to 84 years ;32,9;32,8;52,4;94,1;131,7;190,1;237,2;242,4;249,7;253,1;254,5;265,6;267,5;277,8;279,4;277,0;280,9;280,3
85 years old and over;28,2;38,8;50,0;91,9;100,2;138,1;179,6;182,7;195,1;196,5;203,5;212,8;215,0;217,0;221,0;221,3;226,2;226,9
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
