State and outlying area;;;  Births to teenage mothers, percent of total \1;;;;;;;;;;Births to unmarried women, percent of total;;;;;;;;;;Percent of births with low birth weight \2;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Post office abbreviations;2-digit ANSI code;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indiana;IN;18;14,5;14,7;12,5;11,8;11,4;11,0;11,0;11,0;10,9;11,2;26,2;31,9;34,7;35,5;36,4;37,1;38,8;40,2;41,4;42,4;6,6;7,4;7,6;7,9;8,1;8,3;8,2;8,5
Iowa;IA;19;10,2;11,0;10,0;9,6;9,1;8,7;8,5;8,5;8,7;8,7;21,0;25,2;28,0;28,8;29,3;29,9;31,0;32,5;33,8;34,3;5,4;6,1;6,6;6,6;7,0;7,2;6,9;6,8
Kansas;KS;20;12,3;13,1;12,0;11,6;11,1;10,5;10,2;10,3;10,2;10,3;21,5;25,9;29,0;29,9;31,1;31,6;33,0;34,2;35,2;36,5;6,2;6,9;7,0;7,4;7,3;7,2;7,2;6,0
Kentucky;KY;21;17,5;17,2;14,1;13,2;12,9;12,4;12,2;12,1;12,9;12,9;23,6;28,5;31,0;31,7;33,2;33,8;35,0;35,5;35,3;39,3;7,1;8,2;8,6;8,7;8,8;9,1;9,1;9,3
Louisiana;LA;22;17,6;19,1;17,0;16,2;15,9;14,9;14,7;13,7;13,9;13,7;36,8;42,4;45,6;46,3;47,0;47,5;49,1;48,0;49,8;50,9;9,2;10,3;10,4;10,7;10,9;11,5;11,4;11,0
Maine;ME;23;10,8;10,3;9,4;8,9;8,5;8,2;8,0;8,0;8,1;8,4;22,6;27,8;31,0;31,8;32,6;33,5;34,1;35,0;37,1;39,1;5,1;6,0;6,3;6,5;6,4;6,8;6,8;6,3
Maryland;MD;24;10,5;10,3;9,9;9,4;9,1;8,6;8,5;8,5;8,8;8,9;29,6;33,3;34,6;34,4;34,8;34,8;35,7;37,1;39,7;40,9;7,8;8,6;9,0;9,1;9,3;9,1;9,4;9,1
Massachusetts;MA;25;8,0;7,5;6,6;6,2;5,8;5,9;5,9;6,0;6,2;6,4;24,7;25,6;26,5;26,7;26,8;27,8;28,5;30,2;32,2;33,4;5,9;7,1;7,5;7,6;7,8;7,9;7,9;7,9
Michigan;MI;26;13,5;12,5;10,5;10,2;9,6;9,5;9,6;9,4;9,8;10,1;26,2;34,3;33,3;34,3;34,1;34,6;35,7;36,6;38,3;39,4;7,6;7,9;8,0;8,2;8,3;8,3;8,4;8,2
Minnesota;MN;27;8,0;8,4;8,3;7,9;7,6;7,1;7,1;6,8;7,0;7,1;20,9;23,9;25,8;26,3;27,4;27,7;29,0;29,8;31,7;32,7;5,1;6,1;6,3;6,2;6,5;6,5;6,5;6,7
Mississippi;MS;28;21,3;22,2;18,8;17,8;17,2;16,0;15,7;15,6;16,5;17,1;40,5;45,3;46,0;46,3;47,1;47,0;48,3;49,4;52,8;53,7;9,6;10,7;11,2;11,4;11,6;11,8;12,4;12,3
Missouri;MO;29;14,4;14,4;13,1;12,5;11,9;11,4;11,4;11,1;11,4;11,4;28,6;32,1;34,6;34,8;35,2;35,6;37,0;37,8;39,3;40,5;7,1;7,6;8,0;8,0;8,3;8,1;8,1;7,8
Montana;MT;30;11,5;12,6;11,6;11,6;11,5;10,6;10,6;10,4;10,3;9,7;23,7;26,5;30,8;31,4;32,8;32,2;34,3;34,6;36,0;35,9;6,2;6,2;6,8;6,8;7,6;6,6;7,3;7,2
Nebraska;NE;31;9,8;10,0;10,2;9,7;9,5;9,0;8,7;8,3;8,0;8,6;20,7;24,3;27,2;27,7;28,6;29,7;30,2;30,9;32,3;33,4;5,3;6,8;7,2;6,9;7,0;7,0;7,1;7,0
Nevada;NV;32;12,6;13,7;12,7;11,9;11,4;11,3;11,0;10,7;10,9;10,8;25,4;42,0;36,4;37,2;37,4;39,1;39,7;40,9;41,3;42,0;7,2;7,2;7,5;8,1;8,0;8,3;8,3;8,2
New Hampshire;NH;33;7,2;7,6;6,8;6,3;6,1;5,7;5,8;5,9;6,1;6,6;16,9;22,2;24,7;24,2;24,6;24,8;26,4;27,3;29,4;31,4;4,9;6,3;6,3;6,2;6,8;7,0;6,9;6,3
New Jersey;NJ;34;8,4;8,2;7,1;6,8;6,5;6,2;6,1;6,1;6,3;6,4;24,3;27,6;28,9;29,2;29,3;29,3;30,1;31,4;33,0;34,4;7,0;7,7;8,0;8,1;8,3;8,2;8,6;8,5
New Mexico;NM;35;16,3;18,4;17,4;17,0;16,6;16,5;15,7;15,8;15,7;15,7;35,4;42,6;45,6;46,3;46,9;48,4;48,8;50,8;51,2;51,8;7,4;8,0;8,0;8,5;8,1;8,5;8,9;8,8
New York;NY;36;9,1;9,3;8,2;8,0;7,4;7,0;6,9;7,0;7,1;7,0;33,0;37,9;36,6;35,7;35,7;36,5;37,8;38,7;40,0;40,7;7,6;7,7;7,9;7,9;8,2;8,3;8,3;8,2
North Carolina;NC;37;16,2;15,2;13,0;12,4;12,0;11,4;11,6;11,5;11,7;11,7;29,4;31,4;33,3;34,3;34,7;35,3;36,9;38,4;40,1;41,2;8,0;8,8;9,0;9,0;9,0;9,2;9,1;9,2
North Dakota;ND;38;8,6;9,6;9,2;8,9;8,5;8,0;7,7;7,9;7,4;8,0;18,4;23,5;28,3;27,9;29,0;28,5;29,9;32,2;31,7;32,6;5,5;6,4;6,3;6,5;6,6;6,4;6,7;6,3
Ohio;OH;39;13,8;13,7;12,1;11,4;10,7;10,5;10,4;10,6;10,7;11,0;28,9;33,0;34,6;35,1;35,4;36,2;37,4;38,9;40,5;42,2;7,1;7,9;8,3;8,3;8,5;8,7;8,8;8,7
Oklahoma;OK;40;16,2;17,1;15,9;15,1;14,8;13,9;13,6;13,1;13,6;13,9;25,2;30,5;34,3;35,2;36,4;37,1;38,4;39,1;40,9;41,3;6,6;7,5;8,0;7,8;8,0;8,0;8,3;8,2
Oregon;OR;41;12,0;13,0;11,3;10,8;9,9;9,1;8,9;8,8;8,9;8,9;25,7;28,9;30,1;30,4;30,9;31,7;32,5;33,3;34,3;35,1;5,0;5,6;5,8;6,1;6,0;6,1;6,1;6,1
Pennsylvania;PA;42;10,9;10,8;9,9;9,6;9,2;9,0;9,0;9,0;9,3;9,3;28,6;32,4;32,7;33,8;33,4;33,9;35,2;36,5;38,3;39,7;7,1;7,7;8,2;8,1;8,2;8,4;8,5;8,4
Rhode Island;RI;44;10,5;10,1;10,2;9,9;9,4;8,3;9,2;9,0;9,2;9,7;26,3;31,1;35,5;35,7;35,7;35,8;37,3;38,5;40,5;44,0;6,2;7,2;7,9;8,5;8,0;7,8;8,0;8,0
South Carolina;SC;45;17,1;17,3;15,3;14,5;13,7;13,3;13,4;13,2;13,4;13,4;32,7;37,4;39,8;40,1;40,4;41,1;41,9;43,3;45,6;46,6;8,7;9,7;10,0;10,1;10,2;10,2;10,1;10,1
South Dakota;SD;46;10,8;11,4;11,6;11,1;10,7;9,4;10,0;9,5;9,5;9,8;22,9;28,0;33,5;33,5;35,0;34,2;35,1;36,2;37,1;38,4;5,1;6,2;7,2;6,6;6,9;6,6;7,0;7,0
Tennessee;TN;47;17,6;16,9;14,7;14,1;13,5;13,2;12,9;13,4;13,0;13,2;30,2;33,1;34,5;35,7;36,2;37,2;38,2;40,2;41,4;42,8;8,2;9,2;9,2;9,4;9,2;9,5;9,6;9,4
Texas;TX;48;15,6;16,6;15,3;14,7;14,3;13,8;13,7;13,5;13,5;13,5;17,5;30,0;30,5;31,0;32,4;34,3;36,0;37,6;39,4;40,7;6,9;7,4;7,7;7,9;8,0;8,3;8,4;8,4
Utah;UT;49;10,3;10,8;8,9;8,2;7,3;6,7;6,4;6,3;6,6;6,9;13,5;15,7;17,3;17,4;17,2;17,2;17,5;17,7;18,8;19,6;5,7;6,6;6,4;6,5;6,7;6,8;6,9;6,7
Vermont;VT;50;8,5;8,2;8,0;8,3;8,4;6,4;7,1;6,6;7,2;7,6;20,1;24,9;28,1;31,0;31,9;30,0;32,3;32,3;34,5;36,6;5,3;6,1;6,4;7,0;6,4;6,2;6,9;6,2
Virginia;VA;51;11,7;11,4;9,9;9,7;9,2;8,9;8,6;8,5;8,6;8,6;26,0;29,3;29,9;30,3;30,3;30,4;31,0;32,2;33,8;35,2;7,2;7,9;7,9;8,2;8,3;8,2;8,3;8,6
Washington;WA;53;10,8;11,5;10,2;9,6;9,0;8,5;8,4;8,3;8,3;8,4;23,7;26,7;28,2;28,8;28,8;28,8;30,4;30,9;31,9;33,2;5,3;5,6;5,9;6,0;6,2;6,1;6,5;6,3
West Virginia;WV;54;17,8;17,2;15,9;13,3;12,8;12,3;12,0;11,9;12,5;12,5;25,4;30,5;31,7;32,5;32,9;34,6;34,8;36,5;37,9;40,3;7,1;8,3;9,0;8,6;9,3;9,6;9,7;9,5
Wisconsin;WI;55;10,2;10,5;10,2;9,9;9,5;9,0;8,7;8,6;8,4;8,7;24,2;27,4;29,3;29,9;30,0;30,4;31,3;32,5;34,1;35,4;5,9;6,5;6,6;6,8;7,0;7,0;6,9;7,0
Wyoming;WY;56;13,6;15,2;13,5;12,9;12,4;12,0;12,0;11,1;11,2;11,8;19,8;26,4;28,8;29,6;30,3;32,6;31,7;32,8;33,0;34,7;7,4;8,3;8,4;8,9;8,6;8,6;8,9;9,1
  Puerto Rico;PR;72;(NA);(NA);(NA);(NA);(NA);17,8;18,2;18,1;18,4;18,3;(NA);(NA);49,7;51,1;52,0;53,2;55,3;56,5;57,8;59,3;(NA);10,8;11,5;11,5;11,5;12,8;13,0;12,4
  Virgin Islands;VI;78;(NA);(NA);(NA);(NA);(NA);14,7;14,5;13,6;12,7;12,8;(NA);(NA);66,7;66,8;67,3;68,8;68,2;70,9;70,8;71,5;(NA);9,1;11,8;10,8;11,4;11,2;10,4;12,3
  Guam;GU;66;(NA);(NA);(NA);(NA);(NA);13,2;12,7;13,4;12,9; (NA);(NA);(NA);54,8;55,7;55,4;55,5;56,7;59,6;57,7;  (NA);(NA);7,6;8,0;9,2;8,5;8,8;7,9;      (NA)
  American Samoa;AS;60;(NA);(NA);(NA);(NA);(NA);6,9;7,6;5,8;7,7;7,4;(NA);(NA);35,5;28,3;32,0;37,9;36,6;34,1;34,7;33,0;(NA);2,7;3,9;4,2;3,3;3,8;2,8;3,3
  Northern Marianas;MP;69;(NA);(NA);(NA);(NA);(NA);8,8;8,5;7,0;7,5;8,5;(NA);(NA);(NA);57,5;59,7;57,8;56,1;56,0;58,8;46,1;(NA);8,9;6,9;7,6;7,6;7,4;8,5;7,0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
