  15 to 17 years;;(NA);(NA);3 206;(NA);(NA);(NA);(NA);2 908;2 595;2 315;2 278;2 328;2 229;2 438;2 336;16,0;15,6;11,6;8,9;8,2;8,8;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  18 to 19 years;;(NA);(NA);5 574;(NA);(NA);(NA);(NA);6 060;6 004;5 688;5 314;5 304;5 387;5 374;5 686;40,2;40,1;32,6;29,6;30,1;29,5;30,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hispanic, 15 to 19 years \3;;(NA);(NA);118 449;(NA);(NA);(NA);(NA);129 469;130 007;127 900;128 524;133 044;136 906;145 669;148 453;100,3;99,3;87,3;82,6;81,7;83,0;81,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  15 to 17 years;;(NA);(NA);48 675;(NA);(NA);(NA);(NA);48 423;47 124;46 740;46 955;48 689;50 046;51 990;53 941;65,9;68,3;55,5;49,7;48,5;47,9;47,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  18 to 19 years;;(NA);(NA);69 774;(NA);(NA);(NA);(NA);81 046;82 883;81 160;81 569;84 355;86 860;93 679;94 511;147,7;145,4;132,6;133,5;134,6;139,7;137,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Non-Hispanic White, 15 to 19 years \3;;(NA);(NA);230 024;(NA);(NA);(NA);(NA);204 056;190 161;179 511;172 620;168 795;165 005;169 729;173 104;42,5;39,3;32,6;26,7;25,9;26,6;27,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    15 to 17 years;;(NA);(NA);78 343;(NA);(NA);(NA);(NA);58 759;52 712;49 756;46 803;45 221;43 864;45 260;45 144;23,2;22,0;15,8;12,0;11,5;11,8;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    18 to 19 years;;(NA);(NA);151 681;(NA);(NA);(NA);(NA);145 297;137 449;129 755;125 817;123 574;121 141;124 469;127 960;66,6;66,2;57,5;48,7;48,0;49,3;50,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Non-Hispanic Black, 15 to 19 years \3;;(NA);(NA);130 907;(NA);(NA);(NA);(NA);116 019;108 252;101 494;97 509;97 290;96 813;103 725;106 224;116,2;97,2;79,2;63,1;60,9;63,7;64,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    15 to 17 years;;(NA);(NA);57 912;(NA);(NA);(NA);(NA);43 520;39 907;37 017;35 530;34 920;34 178;36 365;36 266;84,9;70,4;50,1;37,1;34,9;36,2;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    18 to 19 years;;(NA);(NA);72 995;(NA);(NA);(NA);(NA);72 499;68 345;64 477;61 979;62 370;62 635;67 360;69 958;157,5;139,2;121,9;103,9;103,0;108,4;109,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
