;;;;;;;;;;;;;;;;;
Human immunodeficiency virus (HIV) disease;(B20-B24);12 113;7;-;15;206;1 182;4 010;4 377;1 722;475;107;11;;;;
Malaria;(B50-B54);9;-;1;-;-;-;1;2;3;-;2;-;;;;
Other and unspecified infectious and parasitic diseases and their sequelae;B25-B49,B55-B99);5 897;167;64;67;87;129;269;562;864;1 106;1 502;1 079;;;;
Malignant neoplasms ;(C00-C97);559 888;76;377;907;1 644;3 656;13 917;50 334;101 454;137 554;164 889;85 072;;;;
  Malignant neoplasms of lip, oral cavity and pharynx;(C00-C14);7 720;1;-;2;14;41;272;1 128;1 823;1 814;1 760;865;;;;
  Malignant neoplasm of esophagus;(C15);13 686;-;-;-;3;29;279;1 524;3 289;3 691;3 515;1 355;;;;
  Malignant neoplasm of stomach;(C16);11 345;-;-;1;18;124;465;1 165;1 870;2 462;3 343;1 897;;;;
  Malignant neoplasms of colon, rectum and anus;(C19-C21);53 549;-;-;1;42;323;1 330;4 499;8 626;11 709;16 024;10 992;;;;
  Malignant neoplasms of liver and intrahepatic bile ducts;(C22);16 525;2;15;16;31;87;361;2 406;3 842;3 830;4 161;1 774;;;;
  Malignant neoplasm of pancreas;(C25);33 454;-;2;1;5;49;506;2 730;6 298;8 473;10 260;5 130;;;;
  Malignant neoplasm of larynx;(C32);3 821;-;-;-;-;2;58;451;978;1 071;928;333;;;;
  Malignant neoplasms of trachea, bronchus and lung;(C33-C34);158 664;1;1;2;27;155;2 023;12 608;31 317;47 882;48 732;15 915;;;;
  Malignant melanoma of skin;(C43) ;8 441;-;2;2;47;187;505;1 168;1 642;1 780;2 041;1 067;;;;
  Malignant neoplasm of breast;(C50) ;41 210;-;1;-;13;368;2 352;6 115;8 871;7 961;9 346;6 182;;;;
  Malignant neoplasm of cervix uteri ;(C53);3 976;-;-;1;8;181;627;963;821;604;493;278;;;;
  Malignant neoplasms of corpus uteri and uterus, part unspecified;(C54-C55);7 384;1;-;-;2;27;145;599;1 522;1 897;2 049;1 142;;;;
  Malignant neoplasm of ovary;(C56);14 857;1;1;3;23;79;401;1 666;3 048;3 573;4 061;2 001;;;;
  Malignant neoplasm of prostate;(C61);28 372;-;-;1;1;5;40;405;2 273;5 603;11 157;8 887;;;;
  Malignant neoplasms of kidney and renal pelvis;(C64-C65);12 379;2;11;30;20;59;267;1 216;2 462;3 085;3 412;1 815;;;;
  Malignant neoplasm of bladder;(C67);13 474;-;-;-;1;18;104;528;1 568;2 810;4 874;3 571;;;;
  Malignant neoplasms of meninges, brain and other parts of central nervous system;(C70-C72);12 886;16;101;305;206;377;863;1 951;2 925;2 781;2 476;885;;;;
  Malignant neoplasms of lymphoid, hematopoietic and;(C81-C96);55 045;32;132;298;662;828;1 536;3 696;7 695;12 335;17 974;9 856;;;;
    Hodgkins disease;(C81);1 327;-;-;5;65;136;154;148;188;205;288;138;;;;
    Non-Hodgkins lymphoma;(C82-C85);20 594;1;7;36;131;219;515;1 417;2 886;4 543;7 007;3 831;;;;
    Leukemia;(C91-C95;21 944;31;124;256;465;460;715;1 398;2 823;4 735;6 863;4 074;;;;
    Multiple myeloma and immunoproliferative neoplasms;(C88,C90);11 111;-;-;-;1;12;150;731;1 789;2 843;3 793;1 792;;;;
    Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue;(C96);69;-;1;1;-;1;2;2;9;9;23;21;;;;
  All other and unspecified malignant neoplasms;C73-C80,C97);63 100;20;111;244;521;717;1 783;5 516;10 584;14 193;18 283;11 127;;;;
In situ neoplasms, benign neoplasms and neoplasms of;(D00-D48) ;;;;;;;;;;;;;;;;
 uncertain or unknown behavior;;14 122;65;60;76;100;143;316;794;1 315;2 369;4 750;4 134;;;;
Anemias;(D50-D64);3 996;11;26;34;93;141;192;232;304;401;975;1 587;;;;
Diabetes mellitus;(E10-E14);72 449;6;7;28;165;673;2 094;5 692;11 432;15 483;21 763;15 105;;;;
Nutritional deficiencies ;(E40-E64);2 556;9;2;4;6;11;46;98;185;275;720;1 200;;;;
Malnutrition;(E40-E46);2 377;7;2;2;5;11;44;93;173;262;673;1 105;;;;
Other nutritional deficiencies;(E50-E64);179;2;-;2;1;-;2;5;12;13;47;95;;;;
Meningitis;(G00,G03);634;61;20;15;25;35;80;108;77;76;89;48;;;;
Parkinson's disease;(G20-G21);19 566;1;1;-;2;4;15;66;397;2 310;9 101;7 669;;;;
Alzheimer's disease;(G30);72 432;-;-;-;-;1;12;104;655;3 812;22 915;44 933;;;;
Major cardiovascular diseases \2;(I00-I78);823 746;508;218;363;1 376;4 099;15 420;47 037;80 714;119 102;240 862;314 006;;;;
  Diseases of heart \2;(I00-I09,I11,I13,I20-I51) ;631 636;346;161;253;1 076;3 307;12 339;38 095;65 477;92 752;180 451;237 339;;;;
    Acute rheumatic fever and chronic rheumatic heart diseases;(I00-I09);3 257;3;-;7;7;31;66;176;352;608;1 123;884;;;;
    Hypertensive heart disease;(I11);29 788;1;-;2;52;288;1 358;3 586;4 130;3 860;6 232;10 277;;;;
    Hypertensive heart and renal disease;(I13);2 918;-;-;-;6;31;81;179;259;359;806;1 197;;;;
    Ischemic heart diseases;(I20-I25) ;425 425;22;7;13;138;1 054;6 699;24 990;46 706;66 685;125 225;153 855;;;;
      Acute myocardial infarction;(I21-I22);141 462;11;5;6;60;422;2 676;9 746;18 373;24 795;41 624;43 739;;;;
      Other acute ischemic heart diseases;(I24);3 932;2;1;-;7;21;92;354;596;676;1 041;1 139;;;;
      Other forms of chronic ischemic heart disease;(I20,I25);280 031;9;1;7;71;611;3 931;14 890;27 737;41 214;82 560;108 977;;;;
        Atherosclerotic cardiovascular disease, so described;(I25.0);61 030;-;-;-;20;210;1 441;5 820;9 900;10 420;14 905;18 298;;;;
        All other forms of chronic ischemic heart disease;(I20, I25.1-I25.9);219 001;9;1;7;51;401;2 490;9 070;17 837;30 794;67 655;90 679;;;;
    Other heart diseases;(I26-I51);170 248;320;154;231;873;1 903;4 135;9 164;14 030;21 240;47 065;71 126;;;;
      Acute and subacute endocarditis;(I33);1 216;-;1;2;10;33;85;203;228;219;319;116;;;;
      Diseases of pericardium and acute myocarditis;(I30-I31,I40);816;18;24;21;36;48;78;107;122;116;151;95;;;;
      Heart failure;(I50);60 337;19;9;12;37;86;332;1 225;2 801;5 960;17 309;32 544;;;;
      All other forms of heart disease;(I26-I28,I34-I38,I42-I49,I51);107 879;283;120;196;790;1 736;3 640;7 629;10 879;14 945;29 286;38 371;;;;
  Essential (primary) hypertension and hypertensive;(I10,I12);23 855;-;1;3;21;110;385;1 299;2 178;3 174;6 654;10 030;;;;
  Cerebrovascular diseases;(I60-I69);137 119;142;54;95;210;527;2 221;6 341;10 518;18 223;43 719;55 068;;;;
  Atherosclerosis;(I70);8 652;2;1;-;1;7;31;140;388;849;2 469;4 764;;;;
  Other diseases of circulatory system;(I71-I78) ;22 484;18;1;12;68;148;444;1 162;2 153;4 104;7 569;6 805;;;;
    Aortic aneurysm and dissection;(I71);13 238;2;-;7;43;107;340;795;1 366;2 635;4 622;3 321;;;;
    Other diseases of arteries, arterioles and capillaries;(I72-I78);9 246;16;1;5;25;41;104;367;787;1 469;2 947;3 484;;;;
  Other disorders of circulatory system;(I80-I99);3 995;35;3;5;46;114;278;537;540;553;908;976;;;;
Influenza and pneumonia;(J10-J18) ;56 326;263;125;68;184;335;841;2 007;3 154;6 061;16 668;26 617;;;;
  Influenza;(J10-J11);849;18;19;25;13;6;10;26;43;81;236;372;;;;
  Pneumonia ;(J12-J18);55 477;245;106;43;171;329;831;1 981;3 111;5 980;16 432;26 245;;;;
Other acute lower respiratory infections;(J20-J22);297;52;14;3;4;-;8;10;13;24;61;108;;;;
  Acute bronchitis and bronchiolitis;(J20-J21);214;52;14;3;4;-;7;9;9;18;40;58;;;;
  Unspecified acute lower respiratory infection;(J22);83;-;-;-;-;-;1;1;4;6;21;50;;;;
Chronic lower respiratory diseases;(J40-J47);124 583;30;43;115;151;255;841;3 924;12 375;28 236;47 406;31 203;;;;
  Bronchitis, chronic and unspecified ;(J40-J42);740;19;12;2;9;5;10;27;49;89;200;318;;;;
  Emphysema;(J43);12 551;2;-;2;1;9;86;454;1 523;3 273;4 799;2 400;;;;
  Asthma;(J45-J46);3 613;6;26;99;135;194;373;566;492;443;626;653;;;;
  Other chronic lower respiratory diseases;(J44,J47);107 679;3;5;12;6;47;372;2 877;10 311;24 431;41 781;27 832;;;;
Pneumoconioses and chemical effects;(J60-J66,J68);924;2;1;-;1;1;3;20;50;183;392;271;;;;
Pneumonitis due to solids and liquids;(J69);16 887;11;9;13;30;78;166;437;855;1 750;5 284;8 254;;;;
Other diseases of respiratory system;(J600-J06,J30-J39,J67,J70-J98);27 644;334;97;70;103;204;523;1 354;2 805;5 344;9 572;7 238;;;;
Peptic ulcer;(K25-K28);3 323;1;-;1;8;18;73;285;383;520;937;1 097;;;;
Diseases of appendix;(K35-K38);424;3;4;10;8;11;24;33;58;83;99;91;;;;
Hernia;(K40-K46);1 744;34;3;2;7;9;40;87;178;234;510;640;;;;
Chronic liver disease and cirrhosis;(K70,K73-K74);27 555;5;3;-;26;316;2 551;7 712;7 217;4 917;3 778;1 026;;;;
  Alcoholic liver disease;(K70);13 050;-;-;-;14;245;1 732;4 562;3 823;1 783;773;117;;;;
  Other chronic liver disease and cirrhosis ;(K73-K74);14 505;5;3;-;12;71;819;3 150;3 394;3 134;3 005;909;;;;
Cholelithiasis and other disorders of gallbladder;(K80-K82);3 114;-;-;1;9;20;44;125;270;467;1 022;1 156;;;;
Nephritis, nephrotic syndrome and nephrosis;(N00-N07,N17-N19,N25-N27);45 344;162;14;18;99;276;785;2 245;4 368;7 453;14 536;15 388;;;;
  Acute and rapidly progressive nephritic and nephrotic syndrome;(N00-N01,N04);138;5;4;4;4;4;4;11;10;17;41;34;;;;
  Chronic glomerulonephritis, nephritis and nephropathy, not specified as acute or chronic,;(N02-N03,N05-N07,N26);;;;;;;;;;;;;;;;
    and renal scerosis, unspecified;;1 841;3;-;1;6;21;34;82;149;260;575;710;;;;
  Renal failure;(N17-N19);43 344;154;10;12;89;250;745;2 151;4 207;7 171;13 915;14 640;;;;
  Other disorders of kidney;(N25,N27);21;-;-;1;-;1;2;1;2;5;5;4;;;;
Infections of kidney;(N10-N12,N13.6,N15.1);673;5;1;2;4;14;30;55;57;90;164;251;;;;
Hyperplasia of prostate;(N40);514;-;-;-;-;-;-;-;10;46;167;291;;;;
Inflammatory diseases of female pelvic organs;(N70-N76);112;1;-;-;2;3;7;13;12;12;35;27;;;;
Pregnancy, childbirth and the puerperium;(O00-O99);760;(X);(X);2;179;324;192;59;3;-;-;1;;;;
  Pregnancy with abortive outcome;(O00-O07);26;(X);(X);-;6;15;4;1;-;-;-;-;;;;
  Other complications of pregnancy, childbirth and the puerperium;(O10-O99);734;(X);(X);2;173;309;188;58;3;-;-;1;;;;
Certain conditions originating in the perinatal period;(P00-P96) ;14 442;14 321;65;24;14;4;4;4;1;-;2;-;;;;
Congenital malformations, deformations and chromosomal abnormalities;(Q00-Q99);10 489;5 819;515;344;460;437;468;668;720;367;392;297;;;;
Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified;(R00-R99);31 725;3 462;239;126;659;1 013;1 627;2 266;2 039;2 307;5 435;12 508;;;;
All other diseases (Residual);(Residual);237 421;1 173;548;792;2 120;3 364;8 029;17 354;22 624;28 683;61 387;91 329;;;;
Accidents (unintentional injuries);(V01-X59,Y85-Y86);121 599;1 147;1 610;2 258;16 229;14 954;17 534;19 675;11 446;8 420;13 708;14 561;;;;
  Transport accidents;(V01-V99,Y85);48 412;142;615;1 453;11 392;7 753;7 249;7 264;4 986;3 170;3 082;1 290;;;;
    Motor vehicle accidents;V88.8,V89.0,V89.2);45 316;140;588;1 339;11 015;7 348;6 677;6 615;4 518;2 916;2 906;1 240;;;;
    Other land transport accidents;V89.3,V89.9);1 181;1;12;50;168;136;217;244;151;95;78;27;;;;
    Water, air and space, and other and unspecified transport accidents and their sequelae;(V90-V99,Y85) ;1 915;1;15;64;209;269;355;405;317;159;98;23;;;;
  Nontransport accidents;(W00-X59,Y86);73 187;1 005;995;805;4 837;7 201;10 285;12 411;6 460;5 250;10 626;13 271;;;;
    Falls;(W00-W19);20 823;23;38;38;242;318;628;1 290;1 592;2 392;6 227;8 031;;;;
    Accidental discharge of firearms;(W32-W34);642;-;13;41;193;113;74;84;49;33;34;8;;;;
    Accidental drowning and submersion ;(W65-W74);3 579;51;458;256;616;436;466;491;310;217;194;73;;;;
    Accidental exposure to smoke, fire and flames;(X00-X09);3 109;27;199;181;185;199;296;476;461;404;448;228;;;;
    Accidental poisoning and exposure to;(X40-X49);27 531;16;27;58;2 936;5 267;7 542;8 234;2 415;483;340;202;;;;
    Other and unspecified nontransport accidents and their sequelae;X10-X39,X50-X59,Y86);17 503;888;260;231;665;868;1 279;1 836;1 633;1 721;3 383;4 729;;;;
Intentional self-harm (suicide);(*U03,X60-X84,Y87.0);33 300;(X);(X);219;4 189;4 985;6 591;7 426;4 583;2 384;2 075;840;;;;
  Intentional self-harm (suicide) by discharge of firearms;(X72-X74);16 883;(X);(X);62;1 978;2 150;2 821;3 481;2 562;1 689;1 562;577;;;;
  Intentional self-harm (suicide) by other and unspecified means and their sequelae;(*U03,X60-X71,X75-X84,Y87.0);16 417;(X);(X);157;2 211;2 835;3 770;3 945;2 021;695;513;263;;;;
Assault (homicide);(*U01-*U02,X85-Y09,Y87.1);18 573;336;366;390;5 717;4 725;3 020;2 209;1 012;398;279;102;;;;
  Assault (homicide) by discharge of firearms;(*U01.4,X93-X95);12 791;6;42;237;4 827;3 767;1 987;1 185;468;158;84;22;;;;
  Assault (homicide) by other and unspecified means and their sequelae;*U02,X85-X92,X96-Y09,Y87.1);5 782;330;324;153;890;958;1 033;1 024;544;240;195;80;;;;
Legal intervention;(Y35,Y89.0) ;434;-;-;1;85;141;115;66;17;7;1;1;;;;
Events of undetermined intent;(Y10-Y34,Y87.2,Y89.9);5 131;92;52;59;602;817;1 278;1 362;492;163;136;72;;;;
  Discharge of firearms, undetermined intent ;(Y22-Y24);220;-;2;5;76;45;39;22;20;8;3;-;;;;
  Other and unspecified events of undetermined intent and their sequelae;(Y10-Y21,Y25-Y34,Y87.2,Y89.9);4 911;92;50;54;526;772;1 239;1 340;472;155;133;72;;;;
;;;;;;;;;;;;;;;;;
Operations of war and their sequelae ;(Y36,Y89.1);28;-;-;-;13;4;2;1;2;2;4;-;;;;
Complications of medical and surgical care;(Y40-Y84,Y88;2 521;23;22;19;45;62;118;276;351;475;688;442;;;;
Enterocolitis due to clostridium difficile;(A04.7) \x;6 225;4;1;1;7;9;27;108;339;868;2 346;2 515;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
