State;Post office abbreviations;2-digit ANSI code; Number of deaths;;;;;;;;;; Crude rate per 1,000 population \2;;;;;;;;;;Age-adjusted rate \3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1970 (1,000);1975  (1,000);1980  (1,000);1985  (1,000);1990  (1,000);1995  (1,000);2000  (1,000);2005  (1,000);2006  (1,000);2007 \1  (1,000);;;;;;;;;;;;;;;;;
Mississippi;MS;28;23;23;24;25;25;27;29;29;29;28;10,5;9,5;9,4;9,5;9,8;10,0;10,1;10,0;9,8;9,7;10,4;10,1;10,0;10,3;9,6;9,4;
Missouri;MO;29;52;49;50;50;50;54;55;55;55;54;11,1;10,2;10,1;10,1;9,8;10,2;9,8;9,4;9,4;9,2;9,2;9,0;8,7;8,7;8,5;8,3;
Montana;MT;30;7;7;7;7;7;8;8;9;8;9;9,5;8,7;8,5;8,2;8,6;8,8;9,0;9,1;9,0;9,0;8,5;8,3;7,8;8,0;7,8;7,7;
Nebraska;NE;31;15;15;14;15;15;15;15;15;15;15;10,1;9,5;9,2;9,4;9,4;9,3;8,8;8,5;8,4;8,6;8,1;7,9;7,5;7,5;7,4;7,4;
Nevada;NV;32;4;4;6;7;9;13;15;19;19;19;7,9;7,2;7,4;7,6;7,8;8,2;7,6;7,9;7,6;7,3;9,2;9,2;8,8;8,9;8,4;8,0;
New Hampshire;NH;33;7;7;8;8;8;9;10;10;10;10;10,0;8,7;8,3;8,5;7,7;8,0;7,8;7,8;7,7;7,8;7,8;7,5;7,6;7,3;7,2;7,3;
New Jersey;NJ;34;68;65;69;71;70;74;75;72;70;70;9,5;8,9;9,4;9,4;9,1;9,3;8,9;8,3;8,1;8,0;8,1;7,9;7,5;7,5;7,4;7,2;
New Mexico;NM;35;7;8;9;10;11;13;13;15;15;15;7,3;6,9;7,0;6,8;7,0;7,4;7,4;7,8;7,8;7,8;8,2;8,2;7,8;8,0;7,8;7,5;
New York;NY;36;188;170;173;172;169;168;158;152;149;148;10,3;9,4;9,8;9,7;9,4;9,3;8,3;7,9;7,7;7,7;7,8;7,6;7,3;7,2;7,0;6,9;
North Carolina;NC;37;45;46;48;53;57;65;72;75;75;76;8,8;8,3;8,2;8,5;8,6;9,0;8,9;8,6;8,4;8,4;9,1;9,1;8,7;8,8;8,4;8,3;
North Dakota;ND;38;6;5;6;6;6;6;6;6;6;6;9,1;8,6;8,6;8,3;8,9;9,3;9,1;9,0;9,2;8,7;7,5;7,7;7,0;7,0;7,3;6,8;
Ohio;OH;39;100;96;98;99;99;106;108;109;107;107;9,4;8,9;9,1;9,2;9,1;9,5;9,5;9,5;9,3;9,3;9,1;8,9;8,5;8,6;8,4;8,3;
Oklahoma;OK;40;27;27;28;30;30;33;35;36;35;36;10,5;9,8;9,3;9,1;9,7;10,0;10,2;10,2;9,9;10,0;9,7;9,7;9,5;9,8;9,2;9,2;
Oregon;OR;41;20;20;22;24;25;28;30;31;31;31;9,3;8,7;8,3;8,9;8,8;9,0;8,6;8,5;8,5;8,4;8,3;8,1;7,8;7,7;7,7;7,5;
Pennsylvania;PA;42;127;121;124;124;122;128;131;130;126;125;10,8;10,1;10,4;10,5;10,3;10,6;10,7;10,4;10,1;10,1;8,6;8,5;8,1;8,1;8,0;7,9;
Rhode Island;RI;44;9;9;9;10;10;10;10;10;10;10;10,0;9,4;9,8;10,0;9,5;9,8;9,6;9,3;9,1;9,2;8,1;7,9;7,4;7,5;7,5;7,5;
South Carolina;SC;45;23;23;25;27;30;34;37;39;39;39;8,8;8,1;8,1;8,2;8,5;9,1;9,2;9,1;9,0;9,0;9,5;9,3;9,0;9,0;8,6;8,5;
South Dakota;SD;46;7;6;7;7;6;7;7;7;7;7;9,9;9,5;9,5;9,5;9,1;9,5;9,3;9,1;9,1;8,6;7,7;7,9;7,5;7,6;7,4;6,9;
Tennessee;TN;47;38;39;41;43;46;51;55;57;57;57;9,7;9,1;8,9;9,2;9,5;9,8;9,7;9,6;9,4;9,3;9,8;9,8;9,5;9,6;9,1;8,9;
Texas;TX;48;94;98;108;118;125;138;150;156;157;(S);8,4;7,8;7,6;7,3;7,4;7,4;7,2;6,8;6,7;(S);8,7;8,6;8,4;8,3;7,8;(S);
Utah;UT;49;7;8;8;9;9;11;12;13;14;14;6,7;6,1;5,6;5,5;5,3;5,6;5,5;5,4;5,4;5,3;7,8;7,8;7,6;7,3;7,1;6,9;
Vermont;VT;50;4;4;5;5;5;5;5;5;5;5;10,0;8,9;9,0;8,8;8,2;8,5;8,4;8,1;8,1;8,3;7,8;7,7;7,3;7,3;7,2;7,3;
Virginia;VA;51;39;40;43;45;48;53;56;58;58;58;18,4;7,8;8,0;7,9;7,8;8,0;8,0;7,6;7,5;7,5;8,6;8,5;8,1;8,0;7,8;7,7;
Washington;WA;53;30;30;32;35;37;41;44;46;46;47;8,8;8,2;7,7;7,8;7,6;7,5;7,5;7,3;7,2;7,3;7,9;7,8;7,4;7,4;7,2;7,2;
West Virginia;WV;54;20;20;19;19;19;20;21;21;21;21;11,5;10,6;9,9;10,2;10,8;11,1;11,7;11,4;11,4;11,6;9,9;9,9;9,7;9,6;9,4;9,5;
Wisconsin;WI;55;41;40;41;41;43;45;46;47;46;46;9,2;8,7;8,7;8,7;8,7;8,8;8,7;8,4;83;8,3;8,0;7,7;7,5;7,5;7,5;7,3;
Wyoming;WY;56;3;3;3;3;3;4;4;4;4;4;8,8;8,1;6,9;6,6;7,1;7,7;7,9;8,0;8,4;8,2;8,6;8,5;7,9;8,0;8,2;8,0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Puerto Rico;PR;72;18;18;20;23;26;30;28;30;28;29;6,7;6,1;6,4;7,0;7,3;8,1;7,2;7,5;7,2;7,4;7,9;7,8;7,9;7,8;7,2;7,2;
  Virgin Islands;VI;78;0;0;1;1;(Z);1;1;1;1;1;7,9;5,0;5,2;4,6;4,6;5,8;5,3;6,1;5,7;6,4;7,3;7,2;6,9;7,2;6,5;7,0;
  Guam;GU;66;0;0;0;0;1;1;1;1;1;1;5,8;4,2;3,7;3,4;3,9;4,1;4,2;4,0;4,0;4,5;7,4;7,6;6,9;6,6;6,2;7,0;
  American Samoa;AS;60;(NA);(NA);(NA);(NA);(NA);(NA);(Z);(Z);(Z);(Z);(NA);(NA);(NA);(NA);(NA);(NA);3,3;4,4;4,6;3,9;14,7;12,1;13,5;12,2;13,1;10,5;
  Northern Marianas;MP;69;(NA);(NA);(NA);(NA);(NA);(NA);(Z);(Z);(Z);(Z);(NA);(NA);(NA);(NA);(NA);(NA);1,9;2,3;2,1;1,7;10,6;8,1;11,6;10,6;10,0;9,7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
