Race, Hispanic origin, and year;Number (1,000);;;;;;;;;;;;;;Percent living with--;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;65 965; 46 638 ; 17 578 ; 15 396 ; 5 507 ; 3 790 ; 5 410 ; 688 ; 2 182 ; 932 ; 491 ; 594 ; 165 ; 1 749 ;70,7 ;26,6 ;23,3 ;8,3 ;5,7 ;8,2 ;1,0 ;3,3 ;1,4 ;0,7 ;0,9 ;0,3 ;2,7 
1993;66 893; 47 181 ; 17 872 ; 15 586 ; 5 687 ; 3 739 ; 5 511 ; 649 ; 2 286 ; 950 ; 475 ; 747 ; 114 ; 1 840 ;70,5 ;26,7 ;23,3 ;8,5 ;5,6 ;8,2 ;1,0 ;3,4 ;1,4 ;0,7 ;1,1 ;0,2 ;2,8 
1994;69 508; 48 084 ; 18 591 ; 16 334 ; 5 799 ; 3 838 ; 6 000 ; 696 ; 2 257 ; 1 077 ; 411 ; 655 ; 113 ; 2 834 ;69,2 ;26,7 ;23,5 ;8,3 ;5,5 ;8,6 ;1,0 ;3,2 ;1,5 ;0,6 ;0,9 ;0,2 ;4,1 
1995;70 254; 48 276 ; 18 938 ; 16 477 ; 6 019 ; 3 901 ; 5 862 ; 695 ; 2 461 ; 1 182 ; 447 ; 696 ; 135 ; 3 040 ;68,7 ;27,0 ;23,5 ;8,6 ;5,6 ;8,3 ;1,0 ;3,5 ;1,7 ;0,6 ;1,0 ;0,2 ;4,3 
1996;70 908; 48 224 ; 19 752 ; 16 993 ; 6 039 ; 3 927 ; 6 365 ; 662 ; 2 759 ; 1 276 ; 526 ; 837 ; 120 ; 2 932 ;68,0 ;27,9 ;24,0 ;8,5 ;5,5 ;9,0 ;0,9 ;3,9 ;1,8 ;0,7 ;1,2 ;0,2 ;4,1 
1997;70 983; 48 386 ; 19 799 ; 16 740 ; 5 824 ; 3 751 ; 6 598 ; 566 ; 3 059 ; 1 380 ; 596 ; 955 ; 127 ; 2 798 ;68,2 ;27,9 ;23,6 ;8,2 ;5,3 ;9,3 ;0,8 ;4,3 ;1,9 ;0,8 ;1,3 ;0,2 ;3,9 
1998;71 377; 48 642 ; 19 777 ; 16 634 ; 5 704 ; 3 558 ; 6 700 ; 671 ; 3 143 ;1 397; 578 ; 1 046 ; 123 ; 2 959 ;68,1 ;27,7 ;23,3 ;8,0 ;5,0 ;9,4 ;0,9 ;4,4 ;2,0 ;0,8 ;1,5 ;0,2 ;4,1 
1999;71 703; 48 775 ; 19 899 ; 16 805 ; 5 828 ; 3 561 ; 6 736 ; 680 ; 3 094 ;1 400; 583 ; 965 ; 146 ; 3 029 ;68,0 ;27,8 ;23,4 ;8,1 ;5,0 ;9,4 ;0,9 ;4,3 ;2,0 ;0,8 ;1,3 ;0,2 ;4,2 
2000;72 012; 49 795 ; 19 220 ; 16 162 ; 5 655 ; 3 224 ; 6 591 ; 692 ; 3 058 ;1 330; 570 ; 1 006 ; 153 ; 2 997 ;69,1 ;26,7 ;22,4 ;7,9 ;4,5 ;9,2 ;1,0 ;4,2 ;1,8 ;0,8 ;1,4 ;0,2 ;4,2 
2001;72 006; 49 792 ; 19 250 ; 16 117 ; 5 574 ; 3 109 ; 6 736 ; 698 ; 3 133 ;1 383; 522 ; 1 104 ; 124 ; 2 962 ;69,1 ;26,7 ;22,4 ;7,7 ;4,3 ;9,4 ;1,0 ;4,4 ;1,9 ;0,7 ;1,5 ;0,2 ;4,1 
2002;72 321; 49 666 ; 19 770 ; 16 473 ; 5 593 ; 3 287 ; 6 872 ; 720 ; 3 297 ;1 339; 582 ; 1 239 ; 137 ; 2 885 ;68,7 ;27,3 ;22,8 ;7,7 ;4,5 ;9,5 ;1,0 ;4,6 ;1,9 ;0,8 ;1,7 ;0,2 ;4,0 
2003;73 001; 49 903 ; 20 093 ; 16 770 ; 5 756 ; 3 346 ; 7 006 ; 663 ; 3 323 ;1 429; 550 ; 1 172 ; 173 ; 3 005 ;68,4 ;27,5 ;23,0 ;7,9 ;4,6 ;9,6 ;0,9 ;4,6 ;2,0 ;0,8 ;1,6 ;0,2 ;4,1 
2004; 73 205 ; 49 603 ; 20 474 ; 17 072 ; 5 870 ; 3 281 ; 7 218 ; 704 ; 3 402 ; 1 456 ; 491 ; 1 320 ; 135 ; 3 128 ;67,8 ;28,0 ;23,3 ;8,0 ;4,5 ;9,9 ;1,0 ;4,6 ;2,0 ;0,7 ;1,8 ;0,2 ;4,3 
2005; 73 494 ; 49 481 ; 20 722 ; 17 225 ; 5 809 ; 3 388 ; 7 431 ; 597 ; 3 497 ; 1 475 ; 551 ; 1 330 ; 142 ; 3 291 ;67,3 ;28,2 ;23,4 ;7,9 ;4,6 ;10,1 ;0,8 ;4,8 ;2,0 ;0,7 ;1,8 ;0,2 ;4,5 
2006; 73 664 ; 49 661 ; 20 619 ; 17 161 ; 5 769 ; 3 328 ; 7 443 ; 621 ; 3 458 ; 1 495 ; 571 ; 1 255 ; 138 ; 3 383 ;67,4 ;28,0 ;23,3 ;7,8 ;4,5 ;10,1 ;0,8 ;4,7 ;2,0 ;0,8 ;1,7 ;0,2 ;4,6 
2007; 73 746 ; 52 153 ; 19 047 ; 16 658 ; 5 663 ; 3 478 ; 6 945 ; 572 ; 2 389 ; 1 283 ; 443 ; 526 ; 136 ; 2 545 ;70,7 ;25,8 ;22,6 ;7,7 ;4,7 ;9,4 ;0,8 ;3,2 ;1,7 ;0,6 ;0,7 ;0,2 ;3,5 
2008; 74 107 ; 51 786 ; 19 503 ; 16 888 ; 5 578 ; 3 432 ; 7 236 ; 642 ; 2 615 ; 1 315 ; 562 ; 610 ; 128 ; 2 818 ;69,9 ;26,3 ;22,8 ;7,5 ;4,6 ;9,8 ;0,9 ;3,5 ;1,8 ;0,8 ;0,8 ;0,2 ;3,8 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
WHITE \3;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;58 790; 52 624 ; 5 109 ; 4 581 ; (NA) ; (NA) ; (NA) ; (NA) ; 528 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 057 ;89,5 ;8,7 ;7,8 ; (NA) ; (NA) ; (NA) ; (NA) ;0,9 ; (NA) ; (NA) ; (NA) ; (NA) ;1,8 
1980;52 242; 43 200 ; 7 901 ; 7 059 ; (NA) ; (NA) ; (NA) ; (NA) ; 842 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 141 ;82,7 ;15,1 ;13,5 ; (NA) ; (NA) ; (NA) ; (NA) ;1,6 ; (NA) ; (NA) ; (NA) ; (NA) ;2,2 
1985;50 836; 40 690 ; 9 139 ; 7 929 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 210 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 007 ;80,0 ;18,0 ;15,6 ; (NA) ; (NA) ; (NA) ; (NA) ;2,4 ; (NA) ; (NA) ; (NA) ; (NA) ;2,0 
1987;51 112; 40 407 ; 9 569 ; 8 231 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 338 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 136 ;79,1 ;18,7 ;16,1 ; (NA) ; (NA) ; (NA) ; (NA) ;2,6 ; (NA) ; (NA) ; (NA) ; (NA) ;2,2 
1988 ;51 030; 40 287 ; 9 624 ; 8 160 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 464 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 119 ;78,9 ;18,9 ;16,0 ; (NA) ; (NA) ; (NA) ; (NA) ;2,9 ; (NA) ; (NA) ; (NA) ; (NA) ;2,2 
1989;51 134; 40 706 ; 9 626 ; 8 220 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 406 ; (NA) ; (NA) ; (NA) ; (NA) ; 802 ;79,6 ;18,8 ;16,1 ; (NA) ; (NA) ; (NA) ; (NA) ;2,7 ; (NA) ; (NA) ; (NA) ; (NA) ;1,6 
1990;51 390; 40 593 ; 9 870 ; 8 321 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 549 ; (NA) ; (NA) ; (NA) ; (NA) ; 928 ;79,0 ;19,2 ;16,2 ; (NA) ; (NA) ; (NA) ; (NA) ;3,0 ; (NA) ; (NA) ; (NA) ; (NA) ;1,8 
1991;51 918; 40 733 ; 10 142 ; 8 585 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 557 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 043 ;78,5 ;19,5 ;16,5 ; (NA) ; (NA) ; (NA) ; (NA) ;3,0 ; (NA) ; (NA) ; (NA) ; (NA) ;2,0 
1992;52 493; 40 635 ; 10 971 ; 9 250 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 721 ; (NA) ; (NA) ; (NA) ; (NA) ; 887 ;77,4 ;20,9 ;17,6 ; (NA) ; (NA) ; (NA) ; (NA) ;3,3 ; (NA) ; (NA) ; (NA) ; (NA) ;1,7 
1993;53 075; 40 996 ; 11 110 ; 9 256 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 854 ; (NA) ; (NA) ; (NA) ; (NA) ; 969 ;77,2 ;20,9 ;17,4 ; (NA) ; (NA) ; (NA) ; (NA) ;3,5 ; (NA) ; (NA) ; (NA) ; (NA) ;1,8 
1994;54 795; 41 766 ; 11 434 ; 9 724 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 710 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 594 ;76,2 ;20,9 ;17,7 ; (NA) ; (NA) ; (NA) ; (NA) ;3,1 ; (NA) ; (NA) ; (NA) ; (NA) ;2,9 
1995;55 327; 41 946 ; 11 719 ; 9 827 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 892 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 662 ;75,8 ;21,2 ;17,8 ; (NA) ; (NA) ; (NA) ; (NA) ;3,4 ; (NA) ; (NA) ; (NA) ; (NA) ;3,0 
1996;55 714; 41 609 ; 12 335 ; 10 239 ; (NA) ; (NA) ; (NA) ; (NA) ; 2 096 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 770 ;74,7 ;22,1 ;18,4 ; (NA) ; (NA) ; (NA) ; (NA) ;3,8 ; (NA) ; (NA) ; (NA) ; (NA) ;3,2 
1997;55 869; 41 654 ; 12 543 ; 10 204 ; (NA) ; (NA) ; (NA) ; (NA) ; 2 339 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 672 ;74,6 ;22,5 ;18,3 ; (NA) ; (NA) ; (NA) ; (NA) ;4,2 ; (NA) ; (NA) ; (NA) ; (NA) ;3,0 
1998;56 124; 41 547 ; 12 772 ; 10 210 ; (NA) ; (NA) ; (NA) ; (NA) ; 2 562 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 799 ;74,0 ;22,8 ;18,2 ; (NA) ; (NA) ; (NA) ; (NA) ;4,6 ; (NA) ; (NA) ; (NA) ; (NA) ;3,2 
1999;56 265; 41 845 ; 12 654 ; 10 200 ; (NA) ; (NA) ; (NA) ; (NA) ; 2 454 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 766 ;74,4 ;22,5 ;18,1 ; (NA) ; (NA) ; (NA) ; (NA) ;4,4 ; (NA) ; (NA) ; (NA) ; (NA) ;3,1 
2000;56 455; 42 497 ; 12 192 ; 9 765 ; (NA) ; (NA) ; (NA) ; (NA) ; 2 427 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 766 ;75,3 ;21,6 ;17,3 ; (NA) ; (NA) ; (NA) ; (NA) ;4,3 ; (NA) ; (NA) ; (NA) ; (NA) ;3,1 
2001;56 135; 42 188 ; 12 263 ; 9 826 ; 4 357 ; 2 002 ; 3 002 ; 465 ; 2 437 ; 1 185 ; 403 ; 758 ; 91 ; 1 686 ;75,2 ;21,8 ;17,5 ;7,8 ;3,6 ;5,3 ;0,8 ;4,3 ;2,1 ;0,7 ;1,4 ;0,2 ;3,0 
2002;56 276; 41 944 ; 12 600 ; 10 052 ; 4 300 ; 2 208 ; 3 048 ; 496 ; 2 548 ; 1 165 ; 435 ; 841 ; 107 ; 1 732 ;74,5 ;22,4 ;17,9 ;7,6 ;3,9 ;5,4 ;0,9 ;4,5 ;2,1 ;0,8 ;1,5 ;0,2 ;3,1 
2003;55 920; 41 805 ; 12 332 ; 9 798 ; 4 254 ; 2 065 ; 3 029 ; 450 ; 2 534 ; 1 178 ; 413 ; 818 ; 125 ; 1 781 ;74,8 ;22,1 ;17,5 ;7,6 ;3,7 ;5,4 ;0,8 ;4,5 ;2,1 ;0,7 ;1,5 ;0,2 ;3,2 
2004;55 902; 41 550 ; 12 518 ; 10 050 ; 4 416 ; 2 053 ; 3 113 ; 467 ; 2 468 ; 1 183 ; 343 ; 841 ; 100 ; 1 834 ;74,3 ;22,4 ;18,0 ;7,9 ;3,7 ;5,6 ;0,8 ;4,4 ;2,1 ;0,6 ;1,5 ;0,2 ;3,3 
2005;56 234; 41 334 ; 13 002 ; 10 367 ; 4 438 ; 2 258 ; 3 284 ; 387 ; 2 635 ; 1 211 ; 405 ; 920 ; 99 ; 1 898 ;73,5 ;23,1 ;18,4 ;7,9 ;4,0 ;5,8 ;0,7 ;4,7 ;2,2 ;0,7 ;1,6 ;0,2 ;3,4 
2006; 56 332 ; 41 599 ; 12 693 ; 10 090 ; 4 344 ; 2 070 ; 3 263 ; 413 ; 2 603 ; 1 262 ; 418 ; 823 ; 101 ; 2 040 ;73,8 ;22,5 ;17,9 ;7,7 ;3,7 ;5,8 ;0,7 ;4,6 ;2,2 ;0,7 ;1,5 ;0,2 ;3,6 
2007; 56 223 ; 43 156 ; 11 525 ; 9 710 ; 4 290 ; 2 131 ; 2 928 ; 361 ; 1 815 ; 1 067 ; 350 ; 301 ; 97 ; 1 544 ;76,8 ;20,5 ;17,3 ;7,6 ;3,8 ;5,2 ;0,6 ;3,2 ;1,9 ;0,6 ;0,5 ;0,2 ;2,7 
2008; 56 482 ; 42 930 ; 11 905 ; 9 863 ; 4 231 ; 2 221 ; 2 994 ; 417 ; 2 042 ; 1 142 ; 405 ; 402 ; 93 ; 1 647 ;76,0 ;21,1 ;17,5 ;7,5 ;3,9 ;5,3 ;0,7 ;3,6 ;2,0 ;0,7 ;0,7 ;0,2 ;2,9 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLACK \3;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;9 422; 5 508 ; 2 995 ; 2 783 ; (NA) ; (NA) ; (NA) ; (NA) ; 213 ; (NA) ; (NA) ; (NA) ; (NA) ; 919 ;58,5 ;31,8 ;29,5 ; (NA) ; (NA) ; (NA) ; (NA) ;2,3 ; (NA) ; (NA) ; (NA) ; (NA) ;9,8 
1980;9 375; 3 956 ; 4 297 ; 4 117 ; (NA) ; (NA) ; (NA) ; (NA) ; 180 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 122 ;42,2 ;45,8 ;43,9 ; (NA) ; (NA) ; (NA) ; (NA) ;1,9 ; (NA) ; (NA) ; (NA) ; (NA) ;12,0 
1985;9 479; 3 741 ; 5 114 ; 4 837 ; (NA) ; (NA) ; (NA) ; (NA) ; 276 ; (NA) ; (NA) ; (NA) ; (NA) ; 624 ;39,5 ;54,0 ;51,0 ; (NA) ; (NA) ; (NA) ; (NA) ;2,9 ; (NA) ; (NA) ; (NA) ; (NA) ;6,6 
1987;9 612; 3 852 ; 5 087 ; 4 844 ; (NA) ; (NA) ; (NA) ; (NA) ; 243 ; (NA) ; (NA) ; (NA) ; (NA) ; 673 ;40,1 ;52,9 ;50,4 ; (NA) ; (NA) ; (NA) ; (NA) ;2,5 ; (NA) ; (NA) ; (NA) ; (NA) ;7,0 
1988 ;9 699; 3 739 ; 5 247 ; 4 959 ; (NA) ; (NA) ; (NA) ; (NA) ; 288 ; (NA) ; (NA) ; (NA) ; (NA) ; 713 ;38,6 ;54,1 ;51,1 ; (NA) ; (NA) ; (NA) ; (NA) ;3,0 ; (NA) ; (NA) ; (NA) ; (NA) ;7,4 
1989;9 835; 3 738 ; 5 362 ; 5 023 ; (NA) ; (NA) ; (NA) ; (NA) ; 339 ; (NA) ; (NA) ; (NA) ; (NA) ; 735 ;38,0 ;54,5 ;51,1 ; (NA) ; (NA) ; (NA) ; (NA) ;3,4 ; (NA) ; (NA) ; (NA) ; (NA) ;7,5 
1990;10 018; 3 781 ; 5 484 ; 5 132 ; (NA) ; (NA) ; (NA) ; (NA) ; 353 ; (NA) ; (NA) ; (NA) ; (NA) ; 753 ;37,7 ;54,7 ;51,2 ; (NA) ; (NA) ; (NA) ; (NA) ;3,5 ; (NA) ; (NA) ; (NA) ; (NA) ;7,5 
1991;10 209; 3 669 ; 5 874 ; 5 516 ; (NA) ; (NA) ; (NA) ; (NA) ; 358 ; (NA) ; (NA) ; (NA) ; (NA) ; 666 ;35,9 ;57,5 ;54,0 ; (NA) ; (NA) ; (NA) ; (NA) ;3,5 ; (NA) ; (NA) ; (NA) ; (NA) ;6,5 
1992;10 427; 3 714 ; 5 934 ; 5 607 ; (NA) ; (NA) ; (NA) ; (NA) ; 327 ; (NA) ; (NA) ; (NA) ; (NA) ; 779 ;35,6 ;56,9 ;53,8 ; (NA) ; (NA) ; (NA) ; (NA) ;3,1 ; (NA) ; (NA) ; (NA) ; (NA) ;7,5 
1993;10 660; 3 796 ; 6 080 ; 5 757 ; (NA) ; (NA) ; (NA) ; (NA) ; 322 ; (NA) ; (NA) ; (NA) ; (NA) ; 784 ;35,6 ;57,0 ;54,0 ; (NA) ; (NA) ; (NA) ; (NA) ;3,0 ; (NA) ; (NA) ; (NA) ; (NA) ;7,4 
1994;11 177; 3 722 ; 6 384 ; 5 967 ; (NA) ; (NA) ; (NA) ; (NA) ; 417 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 071 ;33,3 ;57,1 ;53,4 ; (NA) ; (NA) ; (NA) ; (NA) ;3,7 ; (NA) ; (NA) ; (NA) ; (NA) ;9,6 
1995;11 301; 3 746 ; 6 339 ; 5 881 ; (NA) ; (NA) ; (NA) ; (NA) ; 458 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 216 ;33,1 ;56,1 ;52,0 ; (NA) ; (NA) ; (NA) ; (NA) ;4,1 ; (NA) ; (NA) ; (NA) ; (NA) ;10,8 
1996;11 434; 3 816 ; 6 560 ; 6 056 ; (NA) ; (NA) ; (NA) ; (NA) ; 504 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 058 ;33,4 ;57,4 ;53,0 ; (NA) ; (NA) ; (NA) ; (NA) ;4,4 ; (NA) ; (NA) ; (NA) ; (NA) ;9,3 
1997;11 369; 3 940 ; 6 469 ; 5 888 ; (NA) ; (NA) ; (NA) ; (NA) ; 581 ; (NA) ; (NA) ; (NA) ; (NA) ; 960 ;34,7 ;56,9 ;51,8 ; (NA) ; (NA) ; (NA) ; (NA) ;5,1 ; (NA) ; (NA) ; (NA) ; (NA) ;8,4 
1998;11 414; 4 137 ; 6 254 ; 5 830 ; (NA) ; (NA) ; (NA) ; (NA) ; 424 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 015 ;36,2 ;54,8 ;51,1 ; (NA) ; (NA) ; (NA) ; (NA) ;3,7 ; (NA) ; (NA) ; (NA) ; (NA) ;8,9 
1999;11 425; 3 967 ; 6 352 ; 5 891 ; (NA) ; (NA) ; (NA) ; (NA) ; 461 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 093 ;34,7 ;55,6 ;51,6 ; (NA) ; (NA) ; (NA) ; (NA) ;4,0 ; (NA) ; (NA) ; (NA) ; (NA) ;9,6 
2000;11 412; 4 286 ; 6 080 ; 5 596 ; (NA) ; (NA) ; (NA) ; (NA) ; 484 ; (NA) ; (NA) ; (NA) ; (NA) ; 1 046 ;37,6 ;53,3 ;49,0 ; (NA) ; (NA) ; (NA) ; (NA) ;4,2 ; (NA) ; (NA) ; (NA) ; (NA) ;9,2 
2001;11 578; 4 356 ; 6 115 ; 5 572 ; 965 ; 946 ; 3 481 ; 180 ; 543 ; 136 ; 92 ; 291 ; 24 ; 1 107 ;37,6 ;52,8 ;48,1 ;8,3 ;8,2 ;30,1 ;1,6 ;4,7 ;1,2 ;0,8 ;2,5 ;0,2 ;9,6 
2002;11 647; 4 481 ; 6 210 ; 5 604 ; 1 003 ; 869 ; 3 573 ; 159 ; 606 ; 129 ; 120 ; 338 ; 19 ; 956 ;38,5 ;53,3 ;48,1 ;8,6 ;7,5 ;30,7 ;1,4 ;5,2 ;1,1 ;1,0 ;2,9 ;0,2 ;8,2 
2003;11 339; 4 094 ; 6 277 ; 5 761 ; 1 191 ; 965 ; 3 451 ; 154 ; 516 ; 157 ; 76 ; 251 ; 32 ; 967 ;36,1 ;55,4 ;50,8 ;10,5 ;8,5 ;30,4 ;1,4 ;4,6 ;1,4 ;0,7 ;2,2 ;0,3 ;8,5 
2004;11 424; 3 972 ; 6 416 ; 5 758 ; 1 073 ; 971 ; 3 541 ; 173 ; 658 ; 171 ; 87 ; 374 ; 26 ; 1 037 ;34,8 ;56,2 ;50,4 ;9,4 ;8,5 ;31,0 ;1,5 ;5,8 ;1,5 ;0,8 ;3,3 ;0,2 ;9,1 
2005;11 293; 3 949 ; 6 234 ; 5 673 ; 985 ; 920 ; 3 617 ; 151 ; 561 ; 145 ; 84 ; 294 ; 38 ; 1 109 ;35,0 ;55,2 ;50,2 ;8,7 ;8,1 ;32,0 ;1,3 ;5,0 ;1,3 ;0,7 ;2,6 ;0,3 ;9,8 
2006; 11 225 ; 3 886 ; 6 283 ; 5 743 ; 1 024 ; 1 009 ; 3 557 ; 152 ; 540 ; 137 ; 89 ; 287 ; 28 ; 1 056 ;34,6 ;56,0 ;51,2 ;9,1 ;9,0 ;31,7 ;1,4 ;4,8 ;1,2 ;0,8 ;2,6 ;0,2 ;9,4 
2007; 11 310 ; 4 465 ; 6 082 ; 5 677 ; 961 ; 1 054 ; 3 501 ; 161 ; 405 ; 142 ; 60 ; 175 ; 28 ; 764 ;39,5 ;53,8 ;50,2 ;8,5 ;9,3 ;31,0 ;1,4 ;3,6 ;1,3 ;0,5 ;1,5 ;0,2 ;6,8 
2008; 11 342 ; 4 256 ; 6 167 ; 5 791 ; 978 ; 930 ; 3 707 ; 176 ; 376 ; 87 ; 109 ; 156 ; 24 ; 919 ;37,5 ;54,4 ;51,1 ;8,6 ;8,2 ;32,7 ;1,6 ;3,3 ;0,8 ;1,0 ;1,4 ;0,2 ;8,1 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASIAN \3;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;2 681; 2 227 ; 367 ; 291 ; 69 ; 97 ; 95 ; 30 ; 76 ; 24 ; 22 ; 27 ; 3 ; 87 ;;;;;;;;;;;;;
2004;2 752; 2 287 ; 393 ; 339 ; 104 ; 100 ; 104 ; 31 ; 54 ; 12 ; 22 ; 14 ; 6 ; 71 ;;;;;;;;;;;;;
2005;2 843; 2 377 ; 394 ; 291 ; 113 ; 64 ; 78 ; 36 ; 103 ; 45 ; 33 ; 25 ; 1 ; 72 ;83,6 ;13,9 ;10,2 ;4,0 ;2,3 ;2,7 ;1,3 ;3,6 ;1,6 ;1,2 ;0,9 ;(Z);2,5 
2006; 2 869 ; 2 403 ; 382 ; 278 ; 97 ; 84 ; 80 ; 17 ; 104 ; 20 ; 40 ; 40 ; 4 ; 86 ;83,8 ;13,3 ;9,7 ;3,4 ;2,9 ;2,8 ;0,6 ;3,6 ;0,7 ;1,4 ;1,4 ;0,1 ;3,0 
2007; 2 953 ; 2 576 ; 313 ; 265 ; 53 ; 103 ; 87 ; 22 ; 48 ; 24 ; 12 ; 6 ; 6 ; 63 ;87,2 ;10,6 ;9,0 ;1,8 ;3,5 ;2,9 ;0,7 ;1,6 ;0,8 ;0,4 ;0,2 ;0,2 ;2,1 
